"","nhood","city","county","price","beds","baths","sqft","room_in_apt","address","lat","lon","d"
"1343","alamo square","san francisco","san francisco",1695,2,NA,NA,0,NA,NA,NA,2004-10-19
"1344","alamo square","san francisco","san francisco",1995,1,NA,NA,0,NA,NA,NA,2008-12-17
"1345","alamo square","san francisco","san francisco",1695,2,NA,NA,0,NA,NA,NA,2004-12-05
"1346","alamo square","san francisco","san francisco",1295,1,NA,NA,0,NA,NA,NA,2004-10-20
"1348","alamo square","san francisco","san francisco",1650,1,NA,NA,0,NA,NA,NA,2012-01-17
"1349","alamo square","san francisco","san francisco",4295,2,NA,NA,0,NA,NA,NA,2012-01-17
"1350","alamo square","san francisco","san francisco",3500,2,NA,1350,0,NA,NA,NA,2011-09-30
"1351","alamo square","san francisco","san francisco",1295,1,NA,NA,0,NA,NA,NA,2004-10-21
"1352","alamo square","san francisco","san francisco",1650,1,NA,NA,0,NA,NA,NA,2009-01-14
"1353","alamo square","san francisco","san francisco",2210,1,NA,705,0,NA,NA,NA,2012-01-19
"1354","alamo square","san francisco","san francisco",2295,1,1,420,0,NA,NA,NA,2012-01-19
"1355","alamo square","san francisco","san francisco",750,2,NA,NA,0,NA,NA,NA,2013-01-14
"1356","alamo square","san francisco","san francisco",2210,1,NA,705,0,NA,NA,NA,2012-01-21
"1357","alamo square","san francisco","san francisco",2800,2,NA,NA,0,NA,NA,NA,2012-01-21
"1358","alamo square","san francisco","san francisco",1200,1,NA,NA,0,NA,NA,NA,2004-10-29
"1359","alamo square","san francisco","san francisco",975,1,1,NA,0,NA,NA,NA,2004-10-30
"1360","alamo square","san francisco","san francisco",4800,3,NA,1650,0,NA,NA,NA,2012-01-22
"1362","alamo square","san francisco","san francisco",1955,1,NA,NA,0,NA,NA,NA,2010-07-06
"1365","alamo square","san francisco","san francisco",2995,3,NA,NA,0,NA,NA,NA,2006-04-10
"1368","alamo square","san francisco","san francisco",1595,1,NA,NA,0,NA,NA,NA,2006-04-11
"1370","alamo square","san francisco","san francisco",1515,1,NA,NA,0,NA,NA,NA,2006-08-23
"1371","alamo square","san francisco","san francisco",1375,1,NA,NA,0,NA,NA,NA,2004-11-07
"1373","alamo square","san francisco","san francisco",2800,3,NA,1700,0,NA,NA,NA,2006-09-01
"1374","alamo square","san francisco","san francisco",1300,1,NA,NA,0,NA,NA,NA,2004-11-11
"1375","alamo square","san francisco","san francisco",1375,1,NA,NA,0,NA,NA,NA,2004-11-12
"1376","alamo square","san francisco","san francisco",1600,1,NA,NA,0,NA,NA,NA,2004-11-12
"1377","alamo square","san francisco","san francisco",1775,1,NA,NA,0,NA,NA,NA,2004-11-12
"1378","alamo square","san francisco","san francisco",900,1,NA,NA,0,NA,NA,NA,2012-02-02
"1379","alamo square","san francisco","san francisco",2150,1,1,NA,0,NA,NA,NA,2006-04-26
"1381","alamo square","san francisco","san francisco",2595,1,NA,NA,0,NA,NA,NA,2012-02-03
"1382","alamo square","san francisco","san francisco",1200,1,NA,NA,0,NA,NA,NA,2004-11-13
"1383","alamo square","san francisco","san francisco",1350,1,NA,NA,0,NA,NA,NA,2004-11-14
"1384","alamo square","san francisco","san francisco",2995,2,NA,806,0,NA,NA,NA,2012-02-05
"1385","alamo square","san francisco","san francisco",1695,2,NA,NA,0,NA,NA,NA,2004-11-15
"1388","alamo square","san francisco","san francisco",400,3,NA,NA,0,NA,NA,NA,2011-03-20
"1389","alamo square","san francisco","san francisco",650,2,NA,NA,0,NA,NA,NA,2011-03-20
"1390","alamo square","san francisco","san francisco",700,3,NA,NA,0,NA,NA,NA,2011-03-20
"1391","alamo square","san francisco","san francisco",1350,1,NA,NA,0,NA,NA,NA,2004-11-19
"1392","alamo square","san francisco","san francisco",2400,3,NA,NA,0,NA,NA,NA,2011-11-28
"1393","alamo square","san francisco","san francisco",1075,1,NA,1000,0,NA,NA,NA,2014-08-03
"1394","alamo square","san francisco","san francisco",4200,2,1,NA,0,NA,NA,NA,2014-08-03
"1395","alamo square","san francisco","san francisco",800,1,NA,NA,0,NA,NA,NA,2011-06-24
"1396","alamo square","san francisco","san francisco",1900,1,NA,NA,0,NA,NA,NA,2011-06-24
"1397","alamo square","san francisco","san francisco",3250,2,1,NA,0,NA,NA,NA,2012-01-09
"1398","alamo square","san francisco","san francisco",2950,3,NA,NA,0,NA,NA,NA,2011-07-24
"1399","alamo square","san francisco","san francisco",1295,1,NA,NA,0,NA,NA,NA,2007-01-17
"1401","alamo square","san francisco","san francisco",1975,2,NA,NA,0,NA,NA,NA,2004-11-26
"1402","alamo square","san francisco","san francisco",4900,4,NA,1800,0,NA,NA,NA,2011-12-10
"1403","alamo square","san francisco","san francisco",2295,1,NA,NA,0,NA,NA,NA,2006-07-05
"1404","alamo square","san francisco","san francisco",2995,1,1,NA,0,"2795",37.329219,-121.895821,2018-02-01
"1406","alamo square","san francisco","san francisco",1975,2,NA,NA,0,NA,NA,NA,2004-12-04
"1407","alamo square","san francisco","san francisco",2250,1,NA,700,0,NA,NA,NA,2012-03-23
"1408","alamo square","san francisco","san francisco",1970,1,NA,500,0,NA,NA,NA,2012-02-23
"1409","alamo square","san francisco","san francisco",800,2,NA,NA,0,NA,NA,NA,2004-12-07
"1410","alamo square","san francisco","san francisco",2250,3,NA,NA,0,NA,NA,NA,2004-12-08
"1411","alamo square","san francisco","san francisco",1800,2,NA,NA,0,NA,NA,NA,2004-12-10
"1413","alamo square","san francisco","san francisco",1800,1,NA,NA,0,NA,NA,NA,2004-12-12
"1414","alamo square","san francisco","san francisco",1850,1,NA,NA,0,NA,NA,NA,2004-12-12
"1415","alamo square","san francisco","san francisco",1150,1,NA,NA,0,NA,NA,NA,2004-12-13
"1416","alamo square","san francisco","san francisco",1800,1,NA,NA,0,NA,NA,NA,2004-12-14
"1417","alamo square","san francisco","san francisco",3200,3,NA,NA,0,NA,NA,NA,2012-02-27
"1418","alamo square","san francisco","san francisco",4195,2,2,NA,0,"1603",37.777245,-122.429881,2014-10-12
"1419","alamo square","san francisco","san francisco",880,2,NA,NA,0,NA,NA,NA,2011-12-21
"1421","alamo square","san francisco","san francisco",1600,2,NA,NA,0,NA,NA,NA,2005-01-14
"1422","alamo square","san francisco","san francisco",1850,1,NA,NA,0,NA,NA,NA,2005-01-14
"1423","alamo square","san francisco","san francisco",5500,4,NA,1800,0,NA,NA,NA,2011-11-20
"1425","alamo square","san francisco","san francisco",2375,2,NA,NA,0,NA,NA,NA,2006-11-18
"1426","alamo square","san francisco","san francisco",1600,1,1,NA,0,NA,NA,NA,2012-05-11
"1427","alamo square","san francisco","san francisco",1850,2,NA,NA,0,NA,NA,NA,2006-11-28
"1428","alamo square","san francisco","san francisco",2850,4,NA,NA,0,NA,NA,NA,2005-01-22
"1429","alamo square","san francisco","san francisco",2050,1,NA,650,0,NA,NA,NA,2011-11-22
"1430","alamo square","san francisco","san francisco",2400,3,NA,NA,0,NA,NA,NA,2011-11-22
"1431","alamo square","san francisco","san francisco",2415,1,NA,665,0,NA,NA,NA,2011-11-22
"1432","alamo square","san francisco","san francisco",2350,2,NA,NA,0,NA,NA,NA,2006-12-01
"1434","alamo square","san francisco","san francisco",2195,1,NA,NA,0,NA,NA,NA,2012-05-25
"1435","alamo square","san francisco","san francisco",2695,1,NA,700,0,NA,NA,NA,2012-02-07
"1437","alamo square","san francisco","san francisco",3895,2,NA,NA,0,"2644",37.778472,-122.440517,2017-01-12
"1438","alamo square","san francisco","san francisco",1250,1,NA,NA,0,NA,NA,NA,2005-02-10
"1439","alamo square","san francisco","san francisco",3200,2,NA,1050,0,NA,NA,NA,2011-11-28
"1440","alamo square","san francisco","san francisco",1595,1,NA,NA,0,NA,NA,NA,2005-02-14
"1444","alamo square","san francisco","san francisco",2990,1,NA,926,0,NA,NA,NA,2012-03-19
"1445","alamo square","san francisco","san francisco",3900,3,NA,1450,0,NA,NA,NA,2012-03-19
"1446","alamo square","san francisco","san francisco",1650,1,NA,NA,0,NA,NA,NA,2007-01-17
"1448","alamo square","san francisco","san francisco",1695,2,NA,NA,0,NA,NA,NA,2005-03-02
"1449","alamo square","san francisco","san francisco",700,1,NA,NA,0,NA,NA,NA,2012-01-15
"1450","alamo square","san francisco","san francisco",4800,3,1,1800,0,NA,NA,NA,2005-03-04
"1451","alamo square","san francisco","san francisco",4780,3,NA,NA,0,NA,NA,NA,2012-07-14
"1453","alamo square","san francisco","san francisco",2700,2,NA,NA,0,NA,NA,NA,2007-04-13
"1456","alamo square","san francisco","san francisco",1750,2,NA,NA,0,NA,NA,NA,2005-03-25
"1460","alamo square","san francisco","san francisco",2285,1,NA,633,0,NA,NA,NA,2011-12-20
"1461","alamo square","san francisco","san francisco",3250,2,NA,1250,0,NA,NA,NA,2011-12-20
"1462","alamo square","san francisco","san francisco",1599,1,NA,NA,0,NA,NA,NA,2005-04-25
