"","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","month","year"
"370343","6659","6",1749,"","DOLORES","ST",1,"02","2015"
"370361","5825","30",794,"","ANDOVER","ST",2,"02","2015"
"370587","316","18",459,"","GEARY","ST",1,"02","2015"
"370589","1558","28",568,"A","16TH","AV",1,"02","2015"
"370693","3510","27",955,"","NATOMA","ST",1,"02","2015"
"370711","7331","130",52,"","SUMMIT","WY",2,"02","2015"
"370712","7331","92",315,"","SUMMIT","WY",1,"02","2015"
"370739","3756","25",56,"","RINGOLD","ST",2,"02","2015"
"370746","316","18",459,"","GEARY","ST",1,"02","2015"
"370867","1265","47",338,"","CARL","ST",1,"02","2015"
"370983","1381","17",5922,"","CALIFORNIA","ST",1,"02","2015"
"370984","1381","17",5924,"","CALIFORNIA","ST",1,"02","2015"
"371037","3612","55",748,"","TREAT","AV",2,"02","2015"
"371038","1386","15",279,"","26TH","AV",1,"02","2015"
"371039","1386","15",283,"","26TH","AV",1,"02","2015"
"371125","6612","27",2123,"","CASTRO","ST",1,"02","2015"
"371126","6612","26",2127,"","CASTRO","ST",1,"02","2015"
"371240","1237","32",1029,"","PAGE","ST",1,"02","2015"
"371270","7331","153",110,"","SUMMIT","WY",2,"02","2015"
"371271","7331","154",112,"","SUMMIT","WY",2,"02","2015"
"371283","7331","223",115,"","SUMMIT","WY",2,"02","2015"
"371284","7331","224",117,"","SUMMIT","WY",2,"02","2015"
"371285","7331","155",116,"","SUMMIT","WY",2,"02","2015"
"371286","7331","82",295,"","SUMMIT","WY",1,"02","2015"
"371287","7331","83",297,"","SUMMIT","WY",1,"02","2015"
"371290","7331","84",299,"","SUMMIT","WY",1,"02","2015"
"371292","7331","157",120,"","SUMMIT","WY",1,"02","2015"
"371293","7331","158",122,"","SUMMIT","WY",1,"02","2015"
"371294","7331","80",291,"","SUMMIT","WY",1,"02","2015"
"371295","7331","165",150,"","SUMMIT","WY",2,"02","2015"
"371296","7331","163",136,"","SUMMIT","WY",2,"02","2015"
"371297","7331","164",138,"","SUMMIT","WY",2,"02","2015"
"371431","1386","15",279,"","26TH","AV",1,"02","2015"
"371432","1386","15",283,"","26TH","AV",1,"02","2015"
"371536","101","4",1731,"","POWELL","ST",18,"02","2015"
"371537","101","4",1741,"","POWELL","ST",18,"02","2015"
"371571","2776","4",10,"","HOFFMAN","AV",1,"02","2015"
"371677","2410","029C",531,"","TARAVAL","ST",1,"02","2015"
"371762","4624","31",142,"","WEST POINT","RD",50,"02","2015"
"371816","829","029A",502,"","HICKORY","ST",1,"02","2015"
"371817","829","029A",504,"","HICKORY","ST",1,"02","2015"
"371858","2362","19",2332,"","TARAVAL","ST",1,"02","2015"
"371892","754","12",1020,"","PIERCE","ST",2,"02","2015"
"371893","754","12",1022,"","PIERCE","ST",2,"02","2015"
"371899","5524","44",3303,"","FOLSOM","ST",1,"02","2015"
"371900","6080","27",379,"","LISBON","ST",1,"02","2015"
"371932","316","18",459,"","GEARY","ST",1,"02","2015"
"371937","3732","9",900,"","FOLSOM","ST",282,"02","2015"
"374437","317","5",436,"","OFARRELL","ST",9,"02","2016"
"374460","3729","42",716,"","CLEMENTINA","ST",1,"02","2016"
"374461","3729","42",718,"","CLEMENTINA","ST",1,"02","2016"
"374474","2058","009J",1822,"","22ND","AV",1,"02","2016"
"374475","7537","1",601,"","29TH","ST",1,"02","2016"
"374491","3615","47",655,"","CAPP","ST",5,"02","2016"
"374492","3615","47",657,"","CAPP","ST",5,"02","2016"
"374505","1667","24",4820,"","FULTON","ST",1,"02","2016"
"374511","1579","017D",672,"","37TH","AV",1,"02","2016"
"374517","4275","012E",2810,"","26TH","ST",1,"02","2016"
"374525","623","4",1850,"","SACRAMENTO","ST",1,"02","2016"
"374528","2184","34",2142,"","34TH","AV",1,"02","2016"
"374544","482","30",1555,"","FRANCISCO","ST",1,"02","2016"
"374550","861","34",609,"","HAIGHT","ST",1,"02","2016"
"374589","5890","10",239,"","MAYNARD","ST",1,"02","2016"
"374602","822","61",840,"","FELL","ST",1,"02","2016"
"374603","822","62",842,"","FELL","ST",1,"02","2016"
"374619","1763","019B",1391,"","08TH","AV",1,"02","2016"
"374756","280","2",839,"","LEAVENWORTH","ST",1,"02","2016"
"374820","505","18",1637,"","LOMBARD","ST",1,"02","2016"
"374856","280","2",839,"","LEAVENWORTH","ST",1,"02","2016"
"374954","3730","15",1140,"","FOLSOM","ST",112,"02","2016"
