"address","...2","date","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","year","month","lat","lon","neighborhoods"
"1374 45TH AV , San Francisco, CA, USA",471117,"10/05/2016","1799","25",1374,NA,"45TH","AV",1,"05",2016,37.7609950204082,-122.504789918367,"Sunset/Parkside"
"1374 A 31ST AV , San Francisco, CA, USA",326822,"24/04/2018","1785","019A",1374,"A","31ST","AV",1,"04",2018,37.7616304,-122.48967562551,"Sunset/Parkside"
"1375 BROADWAY * , San Francisco, CA, USA",384343,"27/02/2018","154","44",1375,NA,"BROADWAY","*",1,"02",2018,37.795901,-122.419576,"Russian Hill"
"1376 45TH AV , San Francisco, CA, USA",433546,"09/06/2016","1799","25",1376,NA,"45TH","AV",1,"06",2016,37.7609621020408,-122.504787591837,"Sunset/Parkside"
"1376 FLORIDA ST , San Francisco, CA, USA",121908,"10/05/2011","4272","14",1376,NA,"FLORIDA","ST",1,"05",2011,37.749964,-122.410079,"Mission"
"1376 FLORIDA ST , San Francisco, CA, USA",122864,"25/05/2011","4272","14",1376,NA,"FLORIDA","ST",1,"05",2011,37.749964,-122.410079,"Mission"
"1376 FLORIDA ST , San Francisco, CA, USA",174549,"15/09/2011","4272","14",1376,NA,"FLORIDA","ST",1,"09",2011,37.749964,-122.410079,"Mission"
"1376 FLORIDA ST , San Francisco, CA, USA",62012,"10/02/2012","4272","51",1376,NA,"FLORIDA","ST",1,"02",2012,37.749964,-122.410079,"Mission"
"1376 FLORIDA ST , San Francisco, CA, USA",16417,"11/08/2011","4272","14",1376,NA,"FLORIDA","ST",1,"08",2011,37.749964,-122.410079,"Mission"
"1379 A KANSAS ST , San Francisco, CA, USA",384047,"02/02/2018","4260","14",1379,"A","KANSAS","ST",1,"02",2018,37.7523,-122.402243,"Potrero Hill"
"1379 KANSAS ST , San Francisco, CA, USA",384048,"02/02/2018","4260","14",1379,NA,"KANSAS","ST",1,"02",2018,37.7522367,-122.402152429212,"Potrero Hill"
"1379 REVERE AV , San Francisco, CA, USA",128761,"23/05/2013","4788","17",1379,NA,"REVERE","AV",1,"05",2013,37.72911,-122.386192,"Bayview Hunters Point"
"138 A EUREKA ST , San Francisco, CA, USA",515725,"09/10/2018","2692","6",138,"A","EUREKA","ST",1,"10",2018,37.7600383673469,-122.438306591837,"Castro/Upper Market"
"138 EUREKA ST , San Francisco, CA, USA",515726,"09/10/2018","2692","6",138,NA,"EUREKA","ST",1,"10",2018,37.760003,-122.438516,"Castro/Upper Market"
"138 SUMMIT WY , San Francisco, CA, USA",371297,"20/02/2015","7331","164",138,NA,"SUMMIT","WY",2,"02",2015,37.7155187541338,-122.475989147312,"Lakeshore"
"1380 7TH ST , San Francisco, CA, USA",91834,"31/07/2014","3833","1",1380,NA,"7TH","ST",393,"07",2014,37.7672779,-122.3960236,"Mission Bay"
"1380 7TH ST , San Francisco, CA, USA",135370,"28/05/2014","3833","1",1380,NA,"7TH","ST",393,"05",2014,37.7672779,-122.3960236,"Mission Bay"
"1380 7TH ST , San Francisco, CA, USA",317882,"06/04/2016","3833","1",1380,NA,"7TH","ST",393,"04",2016,37.7672779,-122.3960236,"Mission Bay"
"1380 7TH ST , San Francisco, CA, USA",29598,"19/08/2014","3833","1",1380,NA,"7TH","ST",393,"08",2014,37.7672779,-122.3960236,"Mission Bay"
"1382 REVERE AV , San Francisco, CA, USA",2052,"03/04/2012","4761","38",1382,NA,"REVERE","AV",1,"04",2012,37.72952965,-122.385951544268,"Bayview Hunters Point"
"1383 44TH AV , San Francisco, CA, USA",365018,"14/12/2018","1799","14",1383,NA,"44TH","AV",1,"12",2018,37.76085845,-122.504097174646,"Sunset/Parkside"
"1385 CLAY ST , San Francisco, CA, USA",475210,"10/05/2017","220","29",1385,NA,"CLAY","ST",1,"05",2017,37.79295605,-122.415831499395,"Nob Hill"
"1386 REVERE AV , San Francisco, CA, USA",326571,"09/04/2018","4761","13",1386,NA,"REVERE","AV",1,"04",2018,37.7295441,-122.386044424789,"Bayview Hunters Point"
"1386 REVERE AV , San Francisco, CA, USA",491509,"28/11/2016","4761","13",1386,NA,"REVERE","AV",1,"11",2016,37.7295441,-122.386044424789,"Bayview Hunters Point"
"1386 REVERE AV , San Francisco, CA, USA",326642,"09/04/2018","4761","13",1386,NA,"REVERE","AV",1,"04",2018,37.7295441,-122.386044424789,"Bayview Hunters Point"
"1386 REVERE AV , San Francisco, CA, USA",525336,"08/09/2016","4761","13",1386,NA,"REVERE","AV",1,"09",2016,37.7295441,-122.386044424789,"Bayview Hunters Point"
