"","buyout_amount","address","nhood","long","lat","month","year"
"5847","8,000.00","893 Rhode Island Street","Potrero Hill","-122.40195101662346","37.75856657982557","4","2016"
"5848","20,000.00","190 27th Avenue","Seacliff","-122.48728210884792","37.78588271015625","12","2020"
"5855","15,000.00","12 College Terrace","Bernal Heights","-122.42594009310345","37.73440716655476","9","2016"
"5857","32,000.00","1774 24th Avenue","Sunset/Parkside","-122.48184567414617","37.7545139092765","6","2019"
"5858","75,000.00","15 White Street","Russian Hill","-122.41957462420591","37.79738361542845","5","2018"
"5859","63,500.00","1832 Lyon Street","Pacific Heights","-122.44544887964915","37.78778047568166","2","2017"
"5863","61,750.00","136 Noe Street","Castro/Upper Market","-122.43340245328714","37.766909741075445","1","2016"
"5868","37,500.00","195 Henry Street","Castro/Upper Market","-122.43536435686144","37.76651765022461","11","2019"
"5872","32,500.00","138 Raymond Avenue","Visitacion Valley","-122.40595312386057","37.71288541194846","11","2015"
"5874","30,000.00","141 Paris Street","Excelsior","-122.43140432027971","37.72631573030051","6","2019"
"5875","32,645.00","1856 Filbert Street","Marina","-122.43004480456595","37.79877166281982","6","2021"
"5878","47,000.00","420 Naples Street","Excelsior","-122.4303438136666","37.722056498559425","5","2016"
"5881","27,000.00","1400 Newcomb Avenue","Bayview Hunters Point","-122.38613088430657","37.73318303405183","8","2021"
"5882","60,000.00","2159 california Street","Pacific Heights","-122.4298665299786","37.78939077752796","11","2016"
"5883","13,960.00","880 South Van Ness Avenue","Mission","-122.41695324513869","37.759118356250255","5","2020"
"5888","5,000.00","1461 Page Street","Haight Ashbury","-122.44485910061472","37.771207213720636","11","2020"
"5889","12,000.00","94 Keystone Way","West of Twin Peaks","-122.46277147720897","37.72789551109874","9","2021"
"5891","30,000.00","2604 Gough Street","Marina","-122.42708398941245","37.79732923473751","3","2019"
"5893","75,000.00","1422 Kearny Street","North Beach","-122.40605634121766","37.80111185939013","2","2020"
