"","address","nhood","lat","long","month","year","block","street_name","street_type"
"155","5000 Block Of Anza  Street","Outer Richmond","37.7773605559145","-122.502269758591","11","2012","5000","Anza","Street"
"157","900 Block Of Scott  Street","Western Addition","37.778472074143","-122.436790628219","5","2016","900","Scott","Street"
"158","3500 Block Of 21st  Street","Castro/Upper Market","37.7565959979842","-122.426199701767","8","2012","3500","21st","Street"
"162","100 Block Of Noriega  Street","Inner Sunset","37.7547300316141","-122.465126276114","3","2016","100","Noriega","Street"
"163","500 Block Of 02nd  Avenue","Inner Richmond","37.7783562452559","-122.459792595564","3","2013","500","02nd","Avenue"
"164","700 Block Of Gonzalez  Drive","Lakeshore","37.7174652865467","-122.48062777506","2","2016","700","Gonzalez","Drive"
"166","3300 Block Of Cesar Chavez  Street","Bernal Heights","37.7481332146216","-122.417039896006","2","2017","3300","Cesar Chavez","Street"
"168","100 Block Of Cook  Street","Lone Mountain/USF","37.7811730152169","-122.452006179852","8","2012","100","Cook","Street"
"169","1300 Block Of 10th  Avenue","Inner Sunset","37.7630589348349","-122.467318184529","1","2013","1300","10th","Avenue"
"170","400 Block Of Ofarrell  Street","Tenderloin","37.7859445814449","-122.411736546098","3","2016","400","Ofarrell","Street"
"171","800 Block Of Gonzalez  Drive","Lakeshore","37.7174652865467","-122.48062777506","10","2018","800","Gonzalez","Drive"
"172","0 Block Of Godeus  Street","Bernal Heights","37.7425966684938","-122.421128194273","10","2016","0","Godeus","Street"
"173","1900 Block Of Fell  Street","Golden Gate Park","37.7724732922176","-122.449964940454","4","2014","1900","Fell","Street"
"174","4400 Block Of Fulton  Street","Golden Gate Park","37.7727900754469","-122.479370765879","11","2018","4400","Fulton","Street"
"177","800 Block Of Rhode Island  Street","Potrero Hill","37.7590391224986","-122.402018166662","4","2018","800","Rhode Island","Street"
"178","100 Block Of Alta  Street","North Beach","37.8014909797705","-122.404843052572","2","2015","100","Alta","Street"
"180","700 Block Of Monterey  Boulevard","West of Twin Peaks","37.7315690074917","-122.452277921091","5","2013","700","Monterey","Boulevard"
"181","1100 Block Of California  Street","Nob Hill","37.7915217795014","-122.4132840942","6","2015","1100","California","Street"
"182","500 Block Of Shotwell  Street","Mission","37.7596317474701","-122.415854022503","3","2014","500","Shotwell","Street"
"184","1900 Block Of Mission  Street","Mission","37.7658624701092","-122.41974710367","10","2013","1900","Mission","Street"
"185","100 Block Of Pfeiffer  Street","North Beach","37.8047717552586","-122.408935742328","5","2012","100","Pfeiffer","Street"
"187","100 Block Of Lexington  Street","Mission","37.7609475242044","-122.420736134216","5","2017","100","Lexington","Street"
"188","800 Block Of Russia  Avenue","Excelsior","37.7183388814491","-122.430378025548","4","2018","800","Russia","Avenue"
"189","1700 Block Of 22nd  Street","Potrero Hill","37.7573300875145","-122.398454594388","3","2014","1700","22nd","Street"
"190","1000 Block Of Sanchez  Street","Noe Valley","37.7527602390678","-122.429769539882","2","2016","1000","Sanchez","Street"
"193","600 Block Of Powell  Street","Nob Hill","37.7904861893062","-122.408852945231","5","2013","600","Powell","Street"
"194","3100 Block Of Lincoln  Way","Sunset/Parkside","37.7647682351803","-122.491718058101","1","2017","3100","Lincoln","Way"
"195","100 Block Of Alhambra  Street","Marina","37.8019883783291","-122.43879528873","6","2015","100","Alhambra","Street"
"196","2100 Block Of Vallejo  Street","Marina","37.7955396525087","-122.432648449098","12","2012","2100","Vallejo","Street"
"197","1000 Block Of Pierce  Street","Western Addition","37.7793899393374","-122.435289224111","4","2018","1000","Pierce","Street"
"198","600 Block Of Ellis  Street","Tenderloin","37.7843422922783","-122.416889243877","8","2017","600","Ellis","Street"
"200","400 Block Of Los Palmos  Drive","West of Twin Peaks","37.7344825578926","-122.451760404904","10","2013","400","Los Palmos","Drive"
