"","address","nhood","lat","long","month","year","block","street_name","street_type"
"4760","2200 Block Of 14th  Avenue","West of Twin Peaks","37.7460901815344","-122.470429915393","7","2017","2200","14th","Avenue"
"4761","3600 Block Of 26th  Street","Mission","37.7488116723992","-122.421927761887","2","2013","3600","26th","Street"
"4762","700 Block Of 20th  Avenue","Outer Richmond","37.7737478340675","-122.478904323129","5","2014","700","20th","Avenue"
"4766","200 Block Of Mission  Street","Financial District/South Beach","","","9","2013","200","Mission","Street"
"4768","400 Block Of Duboce  Avenue","Hayes Valley","37.7693565866925","-122.430801993139","10","2016","400","Duboce","Avenue"
"4769","1700 Block Of Sacramento  Street","Nob Hill","37.7913923753585","-122.421694065927","3","2018","1700","Sacramento","Street"
"4770","2900 Block Of Fillmore  Street","Marina","37.7966236383512","-122.435395779729","6","2018","2900","Fillmore","Street"
"4771","500 Block Of Guerrero  Street","Mission","37.761949214637","-122.423887496421","3","2012","500","Guerrero","Street"
"4773","700 Block Of 39th  Avenue","Outer Richmond","37.7746843777104","-122.499386838322","9","2015","700","39th","Avenue"
"4774","3300 Block Of San Bruno  Avenue","Portola","37.7197853046533","-122.400585228192","3","2014","3300","San Bruno","Avenue"
"4775","0 Block Of Eugenia  Avenue","Bernal Heights","37.7419738388452","-122.421531800615","11","2014","0","Eugenia","Avenue"
"4776","900 Block Of Steiner  Street","Western Addition","37.7779564210338","-122.433313036627","11","2015","900","Steiner","Street"
"4777","1000 Block Of Bush  Street","Nob Hill","","","12","2018","1000","Bush","Street"
"4778","100 Block Of Kissling  Street","Mission","37.7720526360013","-122.415625630303","8","2014","100","Kissling","Street"
"4779","600 Block Of 35th  Avenue","Outer Richmond","37.7767450079432","-122.495242644471","4","2016","600","35th","Avenue"
"4780","300 Block Of Holloway  Avenue","Oceanview/Merced/Ingleside","37.7218444680512","-122.456652282612","11","2013","300","Holloway","Avenue"
"4781","2200 Block Of Pacific  Avenue","Pacific Heights","37.7936623358639","-122.432268475827","1","2015","2200","Pacific","Avenue"
"4783","100 Block Of Bernard  Street","Nob Hill","37.7962132123391","-122.415917863205","4","2014","100","Bernard","Street"
"4784","700 Block Of San Bruno  Avenue","Potrero Hill","37.7601471876694","-122.405034525092","6","2018","700","San Bruno","Avenue"
"4785","100 Block Of 21st  Avenue","Outer Richmond","37.7850052851269","-122.48079270155","10","2017","100","21st","Avenue"
"4786","500 Block Of Taylor  Street","Tenderloin","37.7873933933599","-122.411607224294","10","2018","500","Taylor","Street"
"4787","800 Block Of Pierce  Street","Western Addition","37.7777467174914","-122.434958080512","9","2016","800","Pierce","Street"
"4789","700 Block Of Shotwell  Street","Mission","37.7564332603005","-122.415549736649","9","2012","700","Shotwell","Street"
"4790","600 Block Of Webster  Street","Hayes Valley","37.7767600501336","-122.429559993339","2","2016","600","Webster","Street"
"4791","2700 Block Of Sutter  Street","Presidio Heights","37.7845276648927","-122.445539282544","6","2016","2700","Sutter","Street"
"4792","3100 Block Of Laguna  Street","Marina","37.8000241015864","-122.431025206903","4","2012","3100","Laguna","Street"
"4793","1200 Block Of 45th  Avenue","Sunset/Parkside","37.7632734395283","-122.505053890642","5","2018","1200","45th","Avenue"
"4794","100 Block Of Hoffman  Avenue","Noe Valley","37.752901227531","-122.440813368674","6","2018","100","Hoffman","Avenue"
"4795","800 Block Of Hampshire  Street","Potrero Hill","37.7585080923975","-122.407830330006","3","2016","800","Hampshire","Street"
"4796","100 Block Of Haight  Street","Hayes Valley","37.7728458549978","-122.424635219555","8","2014","100","Haight","Street"
"4797","2000 Block Of Golden Gate  Avenue","Lone Mountain/USF","37.7779878621702","-122.444331336199","1","2016","2000","Golden Gate","Avenue"
"4798","1600 Block Of 48th  Avenue","Sunset/Parkside","37.7556675449424","-122.50773927837","4","2017","1600","48th","Avenue"
"4799","500 Block Of Green  Street","North Beach","37.7996325636043","-122.407933666571","8","2013","500","Green","Street"
"4800","1100 Block Of Green  Street","Russian Hill","37.7983297174838","-122.418344586847","9","2012","1100","Green","Street"
"4804","1400 Block Of Greenwich  Street","Russian Hill","37.8005081161336","-122.423626229059","3","2015","1400","Greenwich","Street"
"4806","100 Block Of Langton  Street","South of Market","37.7755716071165","-122.407437669113","3","2018","100","Langton","Street"
"4808","1000 Block Of Natoma  Street","Mission","37.7726376233525","-122.41707243602","4","2014","1000","Natoma","Street"
"4809","0 Block Of Taylor  Street","Tenderloin","37.7824938827609","-122.410619618903","1","2015","0","Taylor","Street"
"4811","500 Block Of Buchanan  Street","Hayes Valley","37.7746232079501","-122.427588708114","2","2017","500","Buchanan","Street"
"4813","600 Block Of Morse  Street","Excelsior","37.711380370038","-122.445140549643","12","2011","600","Morse","Street"
"4814","100 Block Of Venus  Street","Bayview Hunters Point","37.7307462973249","-122.397912633358","11","2011","100","Venus","Street"
"4816","400 Block Of Eddy  Street","Tenderloin","","","3","2016","400","Eddy","Street"
"4817","1200 Block Of 39th  Avenue","Sunset/Parkside","37.7635557681099","-122.498621299837","4","2014","1200","39th","Avenue"
"4819","600 Block Of Hayes  Street","Hayes Valley","37.7763589897277","-122.427088531607","2","2017","600","Hayes","Street"
"4822","600 Block Of Linden  Street","Hayes Valley","37.7756819779261","-122.428639495538","2","2015","600","Linden","Street"
"4823","100 Block Of Bridgeview  Drive","Bayview Hunters Point","37.7353956584806","-122.39676003589","12","2016","100","Bridgeview","Drive"
"4825","500 Block Of John Muir  Drive","Lakeshore","37.7143630245997","-122.49198854568","12","2012","500","John Muir","Drive"
"4827","1300 Block Of Jackson  Street","Russian Hill","37.7946052758698","-122.417816180698","4","2014","1300","Jackson","Street"
"4829","100 Block Of Font  Boulevard","Lakeshore","37.7155014475134","-122.473671964909","7","2017","100","Font","Boulevard"
"4830","1600 Block Of Grove  Street","Lone Mountain/USF","37.7751908098526","-122.443769154485","7","2015","1600","Grove","Street"
"4832","600 Block Of Taylor  Street","Nob Hill","37.7883246475936","-122.411787145198","1","2017","600","Taylor","Street"
"4833","400 Block Of Waller  Street","Hayes Valley","37.7710690580069","-122.431082567179","10","2011","400","Waller","Street"
"4834","100 Block Of 03rd  Avenue","Inner Richmond","37.786109599011","-122.461419748526","4","2015","100","03rd","Avenue"
"4835","1500 Block Of Leavenworth  Street","Nob Hill","37.795223667949","-122.416562751743","10","2011","1500","Leavenworth","Street"
"4836","2300 Block Of 28th  Avenue","Sunset/Parkside","","","8","2012","2300","28th","Avenue"
"4838","2200 Block Of 21st  Avenue","Sunset/Parkside","37.7457538276653","-122.478030620655","11","2016","2200","21st","Avenue"
"4839","0 Block Of Taylor  Street","Tenderloin","37.7824938827609","-122.410619618903","8","2015","0","Taylor","Street"
"4840","2500 Block Of 26th  Avenue","Sunset/Parkside","37.7399233434652","-122.482997718599","2","2016","2500","26th","Avenue"
"4841","200 Block Of Cornwall  Street","Inner Richmond","37.7849318715232","-122.461876347812","3","2018","200","Cornwall","Street"
"4842","600 Block Of Corbett  Avenue","Twin Peaks","37.7561362905713","-122.443232075472","9","2015","600","Corbett","Avenue"
"4843","1600 Block Of 48th  Avenue","Sunset/Parkside","37.7556675449424","-122.50773927837","5","2017","1600","48th","Avenue"
"4845","1800 Block Of 16th  Avenue","Inner Sunset","37.7534503798589","-122.47319774231","2","2014","1800","16th","Avenue"
"4846","1300 Block Of California  Street","Nob Hill","37.7910647332606","-122.416745829677","5","2015","1300","California","Street"
"4847","0 Block Of Taylor  Street","Tenderloin","37.7824938827609","-122.410619618903","4","2018","0","Taylor","Street"
"4849","400 Block Of 34th  Avenue","Outer Richmond","37.7806135248232","-122.494450206642","5","2015","400","34th","Avenue"
"4851","0 Block Of Webster  Street","Hayes Valley","37.7711505905426","-122.428567109449","10","2014","0","Webster","Street"
"4852","500 Block Of 14th  Street","Mission","37.7679780666324","-122.42488261328","8","2012","500","14th","Street"
"4854","400 Block Of Hyde  Street","Tenderloin","37.7849124071988","-122.416165720051","6","2014","400","Hyde","Street"
"4855","1100 Block Of Mission  Street","South of Market","37.7777513747528","-122.412785519962","6","2013","1100","Mission","Street"
"4856","100 Block Of 22nd  Avenue","Outer Richmond","","","2","2012","100","22nd","Avenue"
"4857","2600 Block Of 44th  Avenue","Sunset/Parkside","37.737210561602","-122.502149711201","1","2013","2600","44th","Avenue"
"4858","1800 Block Of Green  Street","Marina","37.7968874949124","-122.429547988447","12","2018","1800","Green","Street"
"4862","3700 Block Of 26th  Street","Mission","37.7486781702327","-122.424262066807","5","2015","3700","26th","Street"
"4865","300 Block Of 24th  Avenue","Outer Richmond","37.7830037527336","-122.483869939641","2","2013","300","24th","Avenue"
"4866","300 Block Of Foote  Avenue","Outer Mission","37.7155810413479","-122.44843101865","4","2017","300","Foote","Avenue"
"4867","0 Block Of Campbell  Avenue","Visitacion Valley","37.7152524141674","-122.400076241771","1","2018","0","Campbell","Avenue"
"4869","1500 Block Of Greenwich  Street","Marina","37.8003106405194","-122.425179960125","9","2017","1500","Greenwich","Street"
"4872","100 Block Of Clinton  Park","Mission","37.7692129396857","-122.423391662199","6","2012","100","Clinton","Park"
"4873","400 Block Of Larkin  Street","Tenderloin","37.7819132188733","-122.417242247309","1","2012","400","Larkin","Street"
"4876","3900 Block Of 18th  Street","Castro/Upper Market","37.7610883997871","-122.431683537822","10","2018","3900","18th","Street"
"4881","1300 Block Of La Playa  Street","Sunset/Parkside","37.7612126223349","-122.509205148883","7","2018","1300","La Playa","Street"
"4883","800 Block Of Chenery  Street","Glen Park","37.7348680201788","-122.435971636084","5","2016","800","Chenery","Street"
"4885","500 Block Of 15th  Avenue","Outer Richmond","37.7777228589507","-122.473765524667","5","2013","500","15th","Avenue"
"4886","1500 Block Of Greenwich  Street","Marina","37.8003106405194","-122.425179960125","4","2016","1500","Greenwich","Street"
"4887","300 Block Of Ellis  Street","Tenderloin","37.7849704232413","-122.411960966056","3","2018","300","Ellis","Street"
"4888","1800 Block Of 38th  Avenue","Sunset/Parkside","37.7524094508426","-122.496768561462","10","2014","1800","38th","Avenue"
"4889","1000 Block Of Washington  Street","Nob Hill","37.7945789391802","-122.410950959566","7","2014","1000","Washington","Street"
"4891","100 Block Of Broad  Street","Oceanview/Merced/Ingleside","37.7131828153938","-122.457538740159","6","2016","100","Broad","Street"
"4892","1100 Block Of Irving  Street","Inner Sunset","37.7638723696374","-122.470058524529","5","2014","1100","Irving","Street"
"4893","300 Block Of Serrano  Drive","Lakeshore","37.7190651230538","-122.480467680039","6","2015","300","Serrano","Drive"
"4895","5500 Block Of 03rd  Street","Bayview Hunters Point","37.7273769403065","-122.393467023164","6","2017","5500","03rd","Street"
"4897","2100 Block Of Taylor  Street","Russian Hill","37.8021548660574","-122.414586772169","7","2016","2100","Taylor","Street"
"4898","1500 Block Of Bay  Street","Marina","37.8031618124423","-122.432503665247","3","2017","1500","Bay","Street"
"4899","600 Block Of Bush  Street","Nob Hill","37.7902986216025","-122.40768471833","1","2012","600","Bush","Street"
"4900","1300 Block Of Golden Gate  Avenue","Western Addition","37.7794593688973","-122.432773871804","9","2014","1300","Golden Gate","Avenue"
"4901","2100 Block Of Greenwich  Street","Marina","37.7990562727223","-122.435045354321","10","2011","2100","Greenwich","Street"
"4902","300 Block Of Spruce  Street","Presidio Heights","37.7877862077064","-122.453680906648","3","2018","300","Spruce","Street"
"4905","500 Block Of 24th  Avenue","Outer Richmond","37.7791786834114","-122.48359367201","4","2012","500","24th","Avenue"
"4907","200 Block Of Prague  Street","Excelsior","37.7181613633086","-122.427782038161","11","2015","200","Prague","Street"
"4908","800 Block Of Gonzalez  Drive","Lakeshore","37.7175575992348","-122.482374040076","1","2012","800","Gonzalez","Drive"
"4909","1400 Block Of Oak  Street","Golden Gate Park","37.7723998051666","-122.443201142392","11","2014","1400","Oak","Street"
"4913","4500 Block Of Mission  Street","Outer Mission","37.7254686346773","-122.434204027218","12","2018","4500","Mission","Street"
"4915","200 Block Of Berry  Street","Mission Bay","37.7749090881463","-122.394465907275","12","2015","200","Berry","Street"
"4916","500 Block Of Day  Street","Glen Park","37.7424642953627","-122.433754325606","10","2014","500","Day","Street"
"4917","1800 Block Of Turk  Street","Western Addition","37.7795491357195","-122.439568468797","4","2012","1800","Turk","Street"
"4920","600 Block Of Head  Street","Oceanview/Merced/Ingleside","37.718808145169","-122.464450356022","7","2015","600","Head","Street"
"4921","900 Block Of Bush  Street","Nob Hill","","","11","2013","900","Bush","Street"
"4923","500 Block Of Brussels  Street","Portola","37.725316803827","-122.404836133065","3","2016","500","Brussels","Street"
"4924","1800 Block Of 38th  Avenue","Sunset/Parkside","37.7524094508426","-122.496768561462","10","2014","1800","38th","Avenue"
"4926","2400 Block Of Buchanan  Street","Pacific Heights","37.7924485489706","-122.431177471048","6","2013","2400","Buchanan","Street"
"4928","2700 Block Of Market  Street","Castro/Upper Market","37.7615518575028","-122.438884635304","5","2013","2700","Market","Street"
"4931","200 Block Of Russia  Street","Excelsior","37.7206360299123","-122.4351848345","3","2014","200","Russia","Street"
"4932","400 Block Of Larkin  Street","Tenderloin","37.7819132188733","-122.417242247309","5","2016","400","Larkin","Street"
"4933","200 Block Of Rome  Street","Outer Mission","37.7153381443937","-122.44694642875","3","2016","200","Rome","Street"
"4934","2100 Block Of Van Ness  Avenue","Pacific Heights","37.7952623531538","-122.423422248476","10","2014","2100","Van Ness","Avenue"
"4935","1000 Block Of Bush  Street","Nob Hill","37.7894245853819","-122.414550157761","12","2012","1000","Bush","Street"
"4937","400 Block Of Eddy  Street","Tenderloin","37.7836197142321","-122.41506205873","8","2017","400","Eddy","Street"
"4940","200 Block Of Castro  Street","Castro/Upper Market","37.7653269674124","-122.435433838174","1","2013","200","Castro","Street"
"4942","800 Block Of 47th  Avenue","Outer Richmond","37.7724265501441","-122.507819425538","2","2015","800","47th","Avenue"
"4944","1200 Block Of Vallejo  Street","Russian Hill","37.7974376262462","-122.417850882254","9","2014","1200","Vallejo","Street"
"4946","600 Block Of Guerrero  Street","Mission","37.7607689280847","-122.423672647359","5","2018","600","Guerrero","Street"
"4947","1300 Block Of Market  Street","Tenderloin","37.7770444893888","-122.416930565378","7","2018","1300","Market","Street"
"4949","500 Block Of Union  Street","North Beach","37.8005659223026","-122.408184304967","4","2013","500","Union","Street"
"4951","2300 Block Of Market  Street","Castro/Upper Market","37.7634622509525","-122.434160223059","2","2016","2300","Market","Street"
"4952","100 Block Of Broderick  Street","Haight Ashbury","37.7715234586417","-122.438804111152","8","2017","100","Broderick","Street"
"4953","200 Block Of Ocean  Avenue","Outer Mission","37.7232845007225","-122.441806559943","12","2014","200","Ocean","Avenue"
"4954","500 Block Of Hyde  Street","Tenderloin","37.7860183670621","-122.416389951621","5","2012","500","Hyde","Street"
"4955","300 Block Of Mount Vernon  Avenue","Outer Mission","37.7178395218819","-122.446980552497","3","2015","300","Mount Vernon","Avenue"
"4957","1300 Block Of Alabama  Street","Mission","37.7502910462065","-122.41073435487","6","2018","1300","Alabama","Street"
"4958","200 Block Of Pope  Street","Excelsior","37.7120616615044","-122.440355994684","9","2014","200","Pope","Street"
"4960","1100 Block Of Mission  Street","South of Market","37.7777513747528","-122.412785519962","7","2014","1100","Mission","Street"
"4962","4900 Block Of 17th  Street","Haight Ashbury","37.7615196737978","-122.451268869175","3","2017","4900","17th","Street"
"4963","4100 Block Of Fulton  Street","Outer Richmond","37.7729376347849","-122.476153916045","1","2014","4100","Fulton","Street"
"4964","0 Block Of Ringold  Street","South of Market","37.7739423974589","-122.410295448317","2","2015","0","Ringold","Street"
"4966","300 Block Of Corbett  Avenue","Castro/Upper Market","37.7599730434112","-122.445079317411","5","2015","300","Corbett","Avenue"
"4967","0 Block Of Fair Oak  Street","Mission","37.7559037917385","-122.424366210681","4","2014","0","Fair Oak","Street"
"4968","300 Block Of Hale  Street","Portola","37.7311380464401","-122.411799950058","11","2017","300","Hale","Street"
"4969","1900 Block Of Cabrillo  Street","Outer Richmond","37.7746567243075","-122.479505855937","2","2015","1900","Cabrillo","Street"
"4970","0 Block Of Kramer  Place","North Beach","37.8020889271604","-122.408186309932","5","2016","0","Kramer","Place"
"4971","800 Block Of Gonzalez  Drive","Lakeshore","37.7174652865467","-122.48062777506","3","2017","800","Gonzalez","Drive"
"4973","1000 Block Of Geary  Street","Tenderloin","37.7857893543822","-122.420566022454","10","2014","1000","Geary","Street"
"4974","900 Block Of Le Conte  Avenue","Bayview Hunters Point","37.71801920554","-122.396044383054","5","2012","900","Le Conte","Avenue"
"4977","1500 Block Of Gough  Street","Western Addition","37.7878333566202","-122.425188733112","4","2013","1500","Gough","Street"
"4978","1000 Block Of Post  Street","Tenderloin","37.7869327392576","-122.419099466609","11","2015","1000","Post","Street"
"4979","200 Block Of 21st  Avenue","Outer Richmond","37.7831444596381","-122.480657659868","8","2015","200","21st","Avenue"
"4982","0 Block Of San  Antonio  Place","North Beach","37.7991546201113","-122.406186511517","11","2016","0","San","Antonio"
"4983","1200 Block Of 20th  Avenue","Sunset/Parkside","37.7644569475839","-122.478257822305","8","2014","1200","20th","Avenue"
"4989","4300 Block Of 19th  Street","Castro/Upper Market","37.7591250417557","-122.437575431365","1","2015","4300","19th","Street"
"4990","1600 Block Of Leavenworth  Street","Russian Hill","37.7963528040531","-122.416790422843","4","2014","1600","Leavenworth","Street"
"4991","200 Block Of Grand View  Avenue","Twin Peaks","37.7537574771621","-122.441457148874","1","2016","200","Grand View","Avenue"
"4992","1700 Block Of 47th  Avenue","Sunset/Parkside","37.7538502332336","-122.506540895392","9","2012","1700","47th","Avenue"
"4993","900 Block Of Larkin  Street","Tenderloin","37.7863335111164","-122.418133476322","10","2017","900","Larkin","Street"
"4995","200 Block Of Guerrero  Street","Mission","37.7672032067639","-122.424383091879","2","2014","200","Guerrero","Street"
"4996","300 Block Of 30th  Avenue","Outer Richmond","37.7827076869611","-122.490297781697","9","2015","300","30th","Avenue"
"4997","0 Block Of Vasquez  Avenue","West of Twin Peaks","37.7462408830221","-122.457481018819","3","2016","0","Vasquez","Avenue"
"4998","200 Block Of Dolores  Street","Castro/Upper Market","37.76522129793","-122.426350731794","2","2014","200","Dolores","Street"
"4999","200 Block Of Eddy  Street","Tenderloin","37.7840367972221","-122.411773449875","8","2016","200","Eddy","Street"
"5002","300 Block Of 24th  Avenue","Outer Richmond","37.7830037527336","-122.483869939641","4","2013","300","24th","Avenue"
"5005","600 Block Of 09th  Avenue","Inner Richmond","37.7761553436444","-122.467153347444","5","2018","600","09th","Avenue"
"5007","1200 Block Of Fell  Street","Hayes Valley","37.7739543853181","-122.438443711668","11","2016","1200","Fell","Street"
"5008","300 Block Of Hyde  Street","Tenderloin","37.783982240419","-122.41597713713","6","2017","300","Hyde","Street"
"5009","100 Block Of Cambon  Drive","Lakeshore","37.7166658976853","-122.474242229743","1","2017","100","Cambon","Drive"
"5010","0 Block Of Alta  Street","North Beach","37.8015702737582","-122.404003761704","10","2012","0","Alta","Street"
"5011","200 Block Of Leavenworth  Street","Tenderloin","37.7832591137579","-122.414147669701","6","2018","200","Leavenworth","Street"
"5013","1300 Block Of California  Street","Nob Hill","37.7910647332606","-122.416745829677","2","2014","1300","California","Street"
"5014","3300 Block Of 26th  Street","Mission","37.7491552622766","-122.4162365795","10","2014","3300","26th","Street"
"5017","1400 Block Of Taylor  Street","Nob Hill","37.7956406834751","-122.41327697769","7","2012","1400","Taylor","Street"
"5018","400 Block Of Noe  Street","Castro/Upper Market","37.7614209153379","-122.432832450731","9","2012","400","Noe","Street"
"5020","1300 Block Of Palou  Avenue","Bayview Hunters Point","37.7313241467407","-122.38622674846","1","2016","1300","Palou","Avenue"
"5021","1400 Block Of 29th  Avenue","Sunset/Parkside","37.7602939958826","-122.487643829287","1","2016","1400","29th","Avenue"
"5023","200 Block Of Niagara  Avenue","Outer Mission","37.7184436338271","-122.445276051479","3","2014","200","Niagara","Avenue"
"5024","1200 Block Of 41st  Avenue","Sunset/Parkside","37.7634641096669","-122.500764380741","7","2018","1200","41st","Avenue"
"5025","200 Block Of Brazil  Street","Excelsior","37.7237410819535","-122.432831773887","7","2014","200","Brazil","Street"
"5027","100 Block Of Peabody  Street","Visitacion Valley","37.710390079043","-122.407373477693","7","2016","100","Peabody","Street"
"5028","1400 Block Of Waller  Street","Haight Ashbury","37.7689170355797","-122.447978711532","9","2012","1400","Waller","Street"
"5029","500 Block Of John Muir  Drive","Lakeshore","37.7143630245997","-122.49198854568","1","2013","500","John Muir","Drive"
"5030","1400 Block Of Quesada  Avenue","Bayview Hunters Point","","","8","2014","1400","Quesada","Avenue"
"5033","800 Block Of Guerrero  Street","Mission","37.7579664371705","-122.423490867164","5","2012","800","Guerrero","Street"
"5036","500 Block Of Head  Street","Oceanview/Merced/Ingleside","37.71702523016","-122.464430176039","11","2015","500","Head","Street"
"5037","900 Block Of Stanyan  Street","Inner Sunset","37.7659084643558","-122.452852726349","2","2012","900","Stanyan","Street"
"5040","2500 Block Of 30th  Avenue","Sunset/Parkside","37.7397343451732","-122.48728167239","6","2017","2500","30th","Avenue"
"5041","700 Block Of Steiner  Street","Hayes Valley","37.7760871482005","-122.43293482892","10","2014","700","Steiner","Street"
"5042","2400 Block Of 43rd  Avenue","Sunset/Parkside","37.740979569303","-122.501338048614","12","2015","2400","43rd","Avenue"
"5044","900 Block Of Jackson  Street","Chinatown","37.795541904248","-122.410490210534","9","2015","900","Jackson","Street"
"5045","400 Block Of Upper  Terrace","Haight Ashbury","37.7627790663764","-122.446081628397","4","2015","400","Upper","Terrace"
"5046","200 Block Of San Carlos  Street","Mission","37.7593869181506","-122.419908131513","12","2015","200","San Carlos","Street"
"5047","2100 Block Of Stockton  Street","North Beach","37.8055629421339","-122.410217216647","11","2012","2100","Stockton","Street"
"5050","1600 Block Of Grove  Street","Lone Mountain/USF","37.7751908098526","-122.443769154485","12","2014","1600","Grove","Street"
"5052","1000 Block Of Fell  Street","Hayes Valley","37.7743762495956","-122.435117307257","1","2015","1000","Fell","Street"
"5053","1400 Block Of 43rd  Avenue","Sunset/Parkside","37.7596333488637","-122.502647343214","8","2014","1400","43rd","Avenue"
"5054","0 Block Of Chumasero  Drive","Lakeshore","37.7132784582678","-122.472924130809","9","2018","0","Chumasero","Drive"
"5056","200 Block Of Onondaga  Avenue","Outer Mission","37.7229469947536","-122.441992137611","12","2013","200","Onondaga","Avenue"
"5057","1900 Block Of Washington  Street","Pacific Heights","37.7927375948021","-122.425337499008","7","2012","1900","Washington","Street"
"5058","200 Block Of Diamond  Street","Castro/Upper Market","37.758357081933","-122.436962451318","9","2017","200","Diamond","Street"
"5059","1000 Block Of Montgomery  Street","North Beach","37.7986975935491","-122.40395807555","11","2018","1000","Montgomery","Street"
"5061","300 Block Of Trumbull  Street","Excelsior","37.7307762961798","-122.422873138148","11","2017","300","Trumbull","Street"
"5062","1500 Block Of 18th  Avenue","Inner Sunset","37.7589466059884","-122.475731212367","7","2016","1500","18th","Avenue"
"5063","2400 Block Of 18th  Avenue","West of Twin Peaks","37.7421654441136","-122.474559024931","3","2015","2400","18th","Avenue"
"5064","700 Block Of Ellsworth  Street","Bernal Heights","37.7329717129872","-122.416464210134","7","2014","700","Ellsworth","Street"
"5067","500 Block Of Goettingen  Street","Portola","37.7250592032942","-122.405821421962","2","2014","500","Goettingen","Street"
"5069","1900 Block Of 15th  Street","Castro/Upper Market","37.7662310757837","-122.427147907468","1","2013","1900","15th","Street"
"5070","800 Block Of Burnett  Avenue","Twin Peaks","37.7488246163306","-122.445019056401","4","2014","800","Burnett","Avenue"
"5071","1600 Block Of Grove  Street","Lone Mountain/USF","37.7751908098526","-122.443769154485","12","2012","1600","Grove","Street"
"5074","100 Block Of Stanyan  Street","Lone Mountain/USF","37.7782140635583","-122.455317222476","6","2014","100","Stanyan","Street"
"5075","2200 Block Of Mission  Street","Mission","37.7610356057832","-122.419282655375","7","2014","2200","Mission","Street"
"5077","200 Block Of 03rd  Avenue","Inner Richmond","37.7840221598722","-122.461271933153","4","2017","200","03rd","Avenue"
"5078","1900 Block Of Turk  Street","Western Addition","37.7794013880937","-122.440677457539","4","2016","1900","Turk","Street"
"5079","0 Block Of Russia  Avenue","Excelsior","37.7213922045951","-122.436767030708","11","2017","0","Russia","Avenue"
"5080","600 Block Of Jackson  Street","Chinatown","37.7961665646942","-122.405502815343","7","2016","600","Jackson","Street"
"5083","1100 Block Of Chestnut  Street","Russian Hill","37.8025976680713","-122.422241840509","4","2016","1100","Chestnut","Street"
"5084","1300 Block Of Pine  Street","Nob Hill","37.7899375398604","-122.418023728579","2","2013","1300","Pine","Street"
"5085","3000 Block Of Sacramento  Street","Pacific Heights","37.7886754709307","-122.4431186751","3","2012","3000","Sacramento","Street"
"5086","100 Block Of Victoria  Street","Oceanview/Merced/Ingleside","37.7136155526176","-122.465293676541","11","2017","100","Victoria","Street"
"5087","900 Block Of Meade  Avenue","Bayview Hunters Point","37.7179373973794","-122.397543693891","9","2014","900","Meade","Avenue"
"5088","500 Block Of Van Ness  Avenue","Tenderloin","37.780320635254","-122.420197336787","5","2017","500","Van Ness","Avenue"
"5089","0 Block Of Claredon  Street","Inner Sunset","","","12","2014","0","Claredon","Street"
"5091","2300 Block Of North Point  Street","Marina","37.8024573800397","-122.445902557763","1","2016","2300","North Point","Street"
"5092","400 Block Of Hoffman  Avenue","Noe Valley","37.7501014279058","-122.44053729421","2","2018","400","Hoffman","Avenue"
"5094","1500 Block Of 18th  Avenue","Inner Sunset","37.7589466059884","-122.475731212367","9","2016","1500","18th","Avenue"
"5096","1600 Block Of Turk  Street","Western Addition","37.779972519595","-122.436248191326","4","2013","1600","Turk","Street"
"5097","200 Block Of 25th  Avenue","Outer Richmond","37.7848141216698","-122.485079439334","3","2015","200","25th","Avenue"
"5100","2500 Block Of 35th  Avenue","Sunset/Parkside","37.7394974335159","-122.492640962884","8","2016","2500","35th","Avenue"
"5101","1100 Block Of Union  Street","Russian Hill","37.7993591625461","-122.417805952402","4","2012","1100","Union","Street"
"5102","300 Block Of 11th  Avenue","Inner Richmond","37.7817353208887","-122.469698508929","8","2012","300","11th","Avenue"
"5103","800 Block Of 30th  Avenue","Outer Richmond","37.7732587344411","-122.489609659051","10","2016","800","30th","Avenue"
"5108","1300 Block Of Silver  Avenue","Portola","37.7310967677274","-122.409994006482","11","2016","1300","Silver","Avenue"
"5110","300 Block Of Serrano  Drive","Lakeshore","37.7190651230538","-122.480467680039","9","2017","300","Serrano","Drive"
"5111","500 Block Of Geary  Street","Tenderloin","37.7867821288611","-122.41275087403","9","2015","500","Geary","Street"
"5113","0 Block Of Lobos  Street","Oceanview/Merced/Ingleside","37.714915399389","-122.454263758076","11","2013","0","Lobos","Street"
"5115","1300 Block Of York  Street","Mission","37.7504570138938","-122.407960601998","7","2013","1300","York","Street"
"5117","0 Block Of Reddy  Street","Bayview Hunters Point","37.7303543610436","-122.395217314325","5","2017","0","Reddy","Street"
"5119","2200 Block Of Gough  Street","Pacific Heights","37.7939573709814","-122.426424628036","5","2014","2200","Gough","Street"
"5120","3800 Block Of 19th  Street","Castro/Upper Market","37.7596245482319","-122.429311333227","11","2015","3800","19th","Street"
"5121","500 Block Of 04th  Street","South of Market","37.7793495663573","-122.397799422814","3","2014","500","04th","Street"
"5122","400 Block Of Eddy  Street","Tenderloin","37.7836197142321","-122.41506205873","10","2017","400","Eddy","Street"
"5124","400 Block Of Castro  Street","Castro/Upper Market","37.7617808312521","-122.435082669508","11","2012","400","Castro","Street"
"5126","2300 Block Of 26th  Avenue","Sunset/Parkside","37.7436536413774","-122.483257351394","12","2017","2300","26th","Avenue"
"5128","1700 Block Of Market  Street","Mission","37.7721628786367","-122.422963286572","8","2016","1700","Market","Street"
"5129","100 Block Of Glenview  Drive","Twin Peaks","37.7483881677037","-122.446804306399","11","2013","100","Glenview","Drive"
