"address","...1","date","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","year","month","lat","lon"
"1617 KIRKWOOD AV , San Francisco, CA, USA",400219,"25/01/2017","5290","45",1617,NA,"KIRKWOOD","AV",1,"01",2017,"37.738182800000004","-122.39047067752489"
"1617 KIRKWOOD AV , San Francisco, CA, USA",29789,"21/08/2014","5290","45",1617,NA,"KIRKWOOD","AV",1,"08",2014,"37.738182800000004","-122.39047067752489"
"1617 KIRKWOOD AV , San Francisco, CA, USA",491430,"23/11/2016","5290","45",1617,NA,"KIRKWOOD","AV",1,"11",2016,"37.738182800000004","-122.39047067752489"
"1617 KIRKWOOD AV , San Francisco, CA, USA",29791,"21/08/2014","5290","45",1617,NA,"KIRKWOOD","AV",1,"08",2014,"37.738182800000004","-122.39047067752489"
"1617 LYON ST , San Francisco, CA, USA",265179,NA,"1046","5",1617,NA,"LYON","ST",1,NA,NA,"37.78606725","-122.44538479775358"
"162 ALHAMBRA ST , San Francisco, CA, USA",501743,"19/10/2015","0463A","13",162,NA,"ALHAMBRA","ST",1,"10",2015,"37.802009","-122.439133"
"162 COLLEGE AV , San Francisco, CA, USA",343353,"30/08/2017","6720","66",162,NA,"COLLEGE","AV",1,"08",2017,"37.73524","-122.42569"
"162 LANDERS ST , San Francisco, CA, USA",310155,"29/09/2010","3557","24",162,NA,"LANDERS","ST",1,"09",2010,"37.765182","-122.427788"
"162 LANDERS ST , San Francisco, CA, USA",95073,"13/06/2011","3557","24",162,NA,"LANDERS","ST",1,"06",2011,"37.765182","-122.427788"
"1621 IRVING ST , San Francisco, CA, USA",308055,"14/09/2009","1772","13",1621,NA,"IRVING","ST",2,"09",2009,"37.7635254","-122.4754214"
"1621 IRVING ST , San Francisco, CA, USA",310330,"17/09/2010","1772","13",1621,NA,"IRVING","ST",2,"09",2010,"37.7635254","-122.4754214"
"1621 IRVING ST , San Francisco, CA, USA",154473,"20/10/2011","1772","13",1621,NA,"IRVING","ST",2,"10",2011,"37.7635254","-122.4754214"
"1621 IRVING ST , San Francisco, CA, USA",260114,"30/06/2010","1772","13",1621,NA,"IRVING","ST",2,"06",2010,"37.7635254","-122.4754214"
"1622 11TH AV , San Francisco, CA, USA",79867,"17/07/2012","1933","41",1622,NA,"11TH","AV",1,"07",2012,"37.75787975","-122.467808459384"
"1622 11TH AV , San Francisco, CA, USA",133450,"02/05/2014","1933","41",1622,NA,"11TH","AV",1,"05",2014,"37.75787975","-122.467808459384"
"1624 48TH AV , San Francisco, CA, USA",355926,"09/12/2016","1896","39",1624,NA,"48TH","AV",1,"12",2016,"37.756090099999994","-122.5075542084317"
"1624 BAY ST , San Francisco, CA, USA",308184,"09/09/2009","0460A","7",1624,NA,"BAY","ST",1,"09",2009,"37.803315","-122.433895"
"1625 CLEMENT ST , San Francisco, CA, USA",336190,"10/08/2016","1449","40",1625,NA,"CLEMENT","ST",1,"08",2016,"37.782174","-122.476787"
"1625 PALOU AV , San Francisco, CA, USA",28153,"25/08/2014","5327","47",1625,NA,"PALOU","AV",1,"08",2014,"37.734128","-122.391706"
"1627 PALOU AV , San Francisco, CA, USA",28154,"25/08/2014","5327","47",1627,NA,"PALOU","AV",1,"08",2014,"37.734127","-122.391707"
"1629 9TH AV , San Francisco, CA, USA",250896,"22/06/2007","1934","4",1629,NA,"9TH","AV",1,"06",2007,"37.7578463","-122.4661035"
"1629 DOLORES ST , San Francisco, CA, USA",17591,"22/08/2011","6634","15",1629,NA,"DOLORES","ST",2,"08",2011,"37.7433913","-122.4240617651169"
"163 NOE ST , San Francisco, CA, USA",496555,"14/11/2018","3541","30",163,NA,"NOE","ST",1,"11",2018,"37.766425","-122.433019"
"163 SAN CARLOS ST , San Francisco, CA, USA",286682,"23/11/2009","3589","26",163,NA,"SAN CARLOS","ST",1,"11",2009,"37.760831","-122.419828"
"163 SUMMIT WY , San Francisco, CA, USA",520615,"02/09/2015","7331","231",163,NA,"SUMMIT","WY",2,"09",2015,"37.71538493715808","-122.47646761068263"
"163 SUMMIT WY , San Francisco, CA, USA",428189,"05/06/2015","7331","232",163,NA,"SUMMIT","WY",2,"06",2015,"37.71538493715808","-122.47646761068263"
"163 SUMMIT WY , San Francisco, CA, USA",486819,"24/11/2015","7331","232",163,NA,"SUMMIT","WY",2,"11",2015,"37.71538493715808","-122.47646761068263"
"163 UNIVERSITY ST , San Francisco, CA, USA",340892,"03/08/2017","5934","26",163,NA,"UNIVERSITY","ST",1,"08",2017,"37.727969","-122.414358"
"1631 A SHAFTER AV , San Francisco, CA, USA",323418,"20/04/2017","5359","6",1631,"A","SHAFTER","AV",1,"04",2017,"37.73118432752266","-122.39116534434852"
