"","nhood_month_year","buyout_amount","count","avg_buyout","month","year","nhood"
"842","5 2020 Outer Richmond",83000,1,83000,"5","2020","Outer Richmond"
"843","5 2020 Pacific Heights",34000,1,34000,"5","2020","Pacific Heights"
"844","5 2020 Portola",93000,2,46500,"5","2020","Portola"
"845","5 2020 Presidio Heights",40000,1,40000,"5","2020","Presidio Heights"
"846","5 2020 Russian Hill",115000,1,115000,"5","2020","Russian Hill"
"847","5 2020 Sunset/Parkside",76000,2,38000,"5","2020","Sunset/Parkside"
"848","5 2020 Twin Peaks",1e+05,1,1e+05,"5","2020","Twin Peaks"
"849","5 2020 West of Twin Peaks",17000,1,17000,"5","2020","West of Twin Peaks"
"850","5 2021 Bayview Hunters Point",20000,1,20000,"5","2021","Bayview Hunters Point"
"851","5 2021 Bernal Heights",203500,3,67833.3333333333,"5","2021","Bernal Heights"
"852","5 2021 Castro/Upper Market",207500,3,69166.6666666667,"5","2021","Castro/Upper Market"
"853","5 2021 Excelsior",6000,1,6000,"5","2021","Excelsior"
"854","5 2021 Glen Park",40000,1,40000,"5","2021","Glen Park"
"855","5 2021 Hayes Valley",62500,1,62500,"5","2021","Hayes Valley"
"856","5 2021 Inner Richmond",186403.03,3,62134.3433333333,"5","2021","Inner Richmond"
"857","5 2021 Inner Sunset",75000,1,75000,"5","2021","Inner Sunset"
"858","5 2021 Lone Mountain/USF",90520,3,30173.3333333333,"5","2021","Lone Mountain/USF"
"859","5 2021 Marina",15000,1,15000,"5","2021","Marina"
"860","5 2021 McLaren Park",35900,1,35900,"5","2021","McLaren Park"
"861","5 2021 Mission",NA,3,NA,"5","2021","Mission"
"862","5 2021 Oceanview/Merced/Ingleside",55000,2,27500,"5","2021","Oceanview/Merced/Ingleside"
"863","5 2021 Outer Mission",70000,1,70000,"5","2021","Outer Mission"
"864","5 2021 Outer Richmond",30000,1,30000,"5","2021","Outer Richmond"
"865","5 2021 Portola",30013.05,1,30013.05,"5","2021","Portola"
"866","5 2021 Presidio Heights",469562.5,1,469562.5,"5","2021","Presidio Heights"
"867","5 2021 Russian Hill",56645.02,1,56645.02,"5","2021","Russian Hill"
"868","5 2021 Sunset/Parkside",9000,1,9000,"5","2021","Sunset/Parkside"
"869","5 2021 Tenderloin",7500,1,7500,"5","2021","Tenderloin"
"870","5 2021 West of Twin Peaks",48000,1,48000,"5","2021","West of Twin Peaks"
"871","5 2021 Western Addition",20000,1,20000,"5","2021","Western Addition"
"872","5 2022 Bayview Hunters Point",77900,3,25966.6666666667,"5","2022","Bayview Hunters Point"
"873","5 2022 Bernal Heights",400800,6,66800,"5","2022","Bernal Heights"
"874","5 2022 Castro/Upper Market",197085,4,49271.25,"5","2022","Castro/Upper Market"
"875","5 2022 Excelsior",262000,3,87333.3333333333,"5","2022","Excelsior"
"876","5 2022 Glen Park",84500,2,42250,"5","2022","Glen Park"
"877","5 2022 Haight Ashbury",58000,1,58000,"5","2022","Haight Ashbury"
"878","5 2022 Hayes Valley",215112.75,2,107556.375,"5","2022","Hayes Valley"
"879","5 2022 Inner Sunset",197550,4,49387.5,"5","2022","Inner Sunset"
"880","5 2022 Lone Mountain/USF",96000,2,48000,"5","2022","Lone Mountain/USF"
"881","5 2022 Marina",170000,1,170000,"5","2022","Marina"
"882","5 2022 Mission",200821.84,4,50205.46,"5","2022","Mission"
"883","5 2022 Nob Hill",3000,1,3000,"5","2022","Nob Hill"
"884","5 2022 Noe Valley",258000,3,86000,"5","2022","Noe Valley"
"885","5 2022 Outer Mission",89850,2,44925,"5","2022","Outer Mission"
"886","5 2022 Pacific Heights",350000,3,116666.666666667,"5","2022","Pacific Heights"
"887","5 2022 Portola",53374.84,1,53374.84,"5","2022","Portola"
"888","5 2022 Potrero Hill",45000,1,45000,"5","2022","Potrero Hill"
"889","5 2022 Russian Hill",110000,2,55000,"5","2022","Russian Hill"
"890","5 2022 Sunset/Parkside",258300,6,43050,"5","2022","Sunset/Parkside"
"891","5 2022 West of Twin Peaks",20000,1,20000,"5","2022","West of Twin Peaks"
"892","5 2022 Western Addition",NA,1,NA,"5","2022","Western Addition"
"893","6 2015 Bernal Heights",80000,1,80000,"6","2015","Bernal Heights"
"894","6 2015 Castro/Upper Market",15000,1,15000,"6","2015","Castro/Upper Market"
"895","6 2015 Chinatown",73000,2,36500,"6","2015","Chinatown"
"896","6 2015 Excelsior",70000,2,35000,"6","2015","Excelsior"
"897","6 2015 Hayes Valley",32500,1,32500,"6","2015","Hayes Valley"
"898","6 2015 Inner Richmond",49000,2,24500,"6","2015","Inner Richmond"
"899","6 2015 Lone Mountain/USF",3000,1,3000,"6","2015","Lone Mountain/USF"
"900","6 2015 Mission",54000,1,54000,"6","2015","Mission"
"901","6 2015 North Beach",27422,1,27422,"6","2015","North Beach"
"902","6 2015 Outer Mission",115000,1,115000,"6","2015","Outer Mission"
"903","6 2015 Pacific Heights",10000,1,10000,"6","2015","Pacific Heights"
"904","6 2015 Visitacion Valley",5551,1,5551,"6","2015","Visitacion Valley"
"905","6 2016 Bayview Hunters Point",28500,1,28500,"6","2016","Bayview Hunters Point"
"906","6 2016 Haight Ashbury",25000,1,25000,"6","2016","Haight Ashbury"
"907","6 2016 Hayes Valley",98250,2,49125,"6","2016","Hayes Valley"
"908","6 2016 Inner Richmond",12500,1,12500,"6","2016","Inner Richmond"
"909","6 2016 Marina",25000,1,25000,"6","2016","Marina"
"910","6 2016 Mission",50000,1,50000,"6","2016","Mission"
"911","6 2016 Noe Valley",74000,1,74000,"6","2016","Noe Valley"
"912","6 2016 North Beach",22212.8,1,22212.8,"6","2016","North Beach"
"913","6 2016 Outer Mission",56500,3,18833.3333333333,"6","2016","Outer Mission"
"914","6 2016 Outer Richmond",60000,1,60000,"6","2016","Outer Richmond"
"915","6 2016 Pacific Heights",138036.7,4,34509.175,"6","2016","Pacific Heights"
"916","6 2016 Portola",1e+05,1,1e+05,"6","2016","Portola"
"917","6 2016 Potrero Hill",500,1,500,"6","2016","Potrero Hill"
"918","6 2016 Presidio Heights",31466,1,31466,"6","2016","Presidio Heights"
"919","6 2016 Sunset/Parkside",5890,1,5890,"6","2016","Sunset/Parkside"
"920","6 2017 Bernal Heights",80000,2,40000,"6","2017","Bernal Heights"
"921","6 2017 Castro/Upper Market",276435.08,4,69108.77,"6","2017","Castro/Upper Market"
"922","6 2017 Excelsior",112000,3,37333.3333333333,"6","2017","Excelsior"
"923","6 2017 Glen Park",9782.26,1,9782.26,"6","2017","Glen Park"
"924","6 2017 Inner Richmond",71429.41,3,23809.8033333333,"6","2017","Inner Richmond"
"925","6 2017 Marina",64500,2,32250,"6","2017","Marina"
"926","6 2017 Mission",222100,4,55525,"6","2017","Mission"
"927","6 2017 Noe Valley",88540,2,44270,"6","2017","Noe Valley"
"928","6 2017 Oceanview/Merced/Ingleside",72500,2,36250,"6","2017","Oceanview/Merced/Ingleside"
"929","6 2017 Outer Richmond",83500,2,41750,"6","2017","Outer Richmond"
"930","6 2017 Pacific Heights",115000.14,4,28750.035,"6","2017","Pacific Heights"
"931","6 2017 Potrero Hill",28000,1,28000,"6","2017","Potrero Hill"
"932","6 2017 Russian Hill",17261.08,1,17261.08,"6","2017","Russian Hill"
"933","6 2017 Sunset/Parkside",43867.22,3,14622.4066666667,"6","2017","Sunset/Parkside"
"934","6 2017 Visitacion Valley",29050,1,29050,"6","2017","Visitacion Valley"
"935","6 2017 West of Twin Peaks",67750,2,33875,"6","2017","West of Twin Peaks"
"936","6 2018 Bayview Hunters Point",50800,1,50800,"6","2018","Bayview Hunters Point"
"937","6 2018 Castro/Upper Market",173694.22,6,28949.0366666667,"6","2018","Castro/Upper Market"
"938","6 2018 Excelsior",33000,2,16500,"6","2018","Excelsior"
"939","6 2018 Glen Park",90000,2,45000,"6","2018","Glen Park"
"940","6 2018 Haight Ashbury",60000,1,60000,"6","2018","Haight Ashbury"
"941","6 2018 Hayes Valley",99500,2,49750,"6","2018","Hayes Valley"
"942","6 2018 Inner Richmond",90000,1,90000,"6","2018","Inner Richmond"
"943","6 2018 Inner Sunset",184452,5,36890.4,"6","2018","Inner Sunset"
"944","6 2018 Lone Mountain/USF",28400,1,28400,"6","2018","Lone Mountain/USF"
"945","6 2018 Marina",15000,1,15000,"6","2018","Marina"
"946","6 2018 Mission",188256.65,5,37651.33,"6","2018","Mission"
"947","6 2018 Noe Valley",0,1,0,"6","2018","Noe Valley"
"948","6 2018 Outer Richmond",141337.5,3,47112.5,"6","2018","Outer Richmond"
"949","6 2018 Potrero Hill",65000,2,32500,"6","2018","Potrero Hill"
"950","6 2018 Sunset/Parkside",42000,2,21000,"6","2018","Sunset/Parkside"
"951","6 2018 West of Twin Peaks",112077.78,4,28019.445,"6","2018","West of Twin Peaks"
"952","6 2019 Castro/Upper Market",77467.36,1,77467.36,"6","2019","Castro/Upper Market"
"953","6 2019 Excelsior",58000,2,29000,"6","2019","Excelsior"
"954","6 2019 Hayes Valley",289681.54,6,48280.2566666667,"6","2019","Hayes Valley"
"955","6 2019 Inner Richmond",101045,2,50522.5,"6","2019","Inner Richmond"
"956","6 2019 Inner Sunset",65000,1,65000,"6","2019","Inner Sunset"
"957","6 2019 Lone Mountain/USF",20000,1,20000,"6","2019","Lone Mountain/USF"
"958","6 2019 Mission",8000,1,8000,"6","2019","Mission"
"959","6 2019 North Beach",129645.04,3,43215.0133333333,"6","2019","North Beach"
"960","6 2019 Oceanview/Merced/Ingleside",11900,1,11900,"6","2019","Oceanview/Merced/Ingleside"
"961","6 2019 Outer Mission",97000,3,32333.3333333333,"6","2019","Outer Mission"
"962","6 2019 Pacific Heights",7000,1,7000,"6","2019","Pacific Heights"
"963","6 2019 Russian Hill",15000,1,15000,"6","2019","Russian Hill"
"964","6 2019 Sunset/Parkside",320000,4,80000,"6","2019","Sunset/Parkside"
"965","6 2019 Western Addition",37000,1,37000,"6","2019","Western Addition"
"966","6 2020 Bernal Heights",76320,2,38160,"6","2020","Bernal Heights"
"967","6 2020 Glen Park",51914.6,1,51914.6,"6","2020","Glen Park"
"968","6 2020 Haight Ashbury",80000,2,40000,"6","2020","Haight Ashbury"
"969","6 2020 Inner Richmond",30000,1,30000,"6","2020","Inner Richmond"
"970","6 2020 Marina",4242.59,1,4242.59,"6","2020","Marina"
"971","6 2020 Mission",211500,2,105750,"6","2020","Mission"
"972","6 2020 Outer Mission",77400.15,1,77400.15,"6","2020","Outer Mission"
"973","6 2020 Outer Richmond",52042,2,26021,"6","2020","Outer Richmond"
"974","6 2020 Pacific Heights",69000,2,34500,"6","2020","Pacific Heights"
"975","6 2020 Tenderloin",4700,1,4700,"6","2020","Tenderloin"
"976","6 2021 Bayview Hunters Point",25000,1,25000,"6","2021","Bayview Hunters Point"
"977","6 2021 Bernal Heights",80000,2,40000,"6","2021","Bernal Heights"
"978","6 2021 Castro/Upper Market",25000,1,25000,"6","2021","Castro/Upper Market"
"979","6 2021 Excelsior",65000,2,32500,"6","2021","Excelsior"
"980","6 2021 Haight Ashbury",65000,1,65000,"6","2021","Haight Ashbury"
"981","6 2021 Hayes Valley",65500,3,21833.3333333333,"6","2021","Hayes Valley"
"982","6 2021 Inner Sunset",213750,2,106875,"6","2021","Inner Sunset"
"983","6 2021 Japantown",11500,1,11500,"6","2021","Japantown"
"984","6 2021 Lone Mountain/USF",115000,1,115000,"6","2021","Lone Mountain/USF"
"985","6 2021 Marina",32645,1,32645,"6","2021","Marina"
"986","6 2021 Mission",110000,2,55000,"6","2021","Mission"
"987","6 2021 Nob Hill",60000,1,60000,"6","2021","Nob Hill"
"988","6 2021 Noe Valley",52500,1,52500,"6","2021","Noe Valley"
"989","6 2021 North Beach",153259.22,3,51086.4066666667,"6","2021","North Beach"
"990","6 2021 Outer Mission",45000,2,22500,"6","2021","Outer Mission"
"991","6 2021 Outer Richmond",65750,3,21916.6666666667,"6","2021","Outer Richmond"
"992","6 2021 Pacific Heights",50000,1,50000,"6","2021","Pacific Heights"
"993","6 2021 Potrero Hill",56000,1,56000,"6","2021","Potrero Hill"
"994","6 2021 Russian Hill",78000,3,26000,"6","2021","Russian Hill"
"995","6 2021 Seacliff",25000,1,25000,"6","2021","Seacliff"
"996","6 2021 South of Market",0,1,0,"6","2021","South of Market"
"997","6 2021 Sunset/Parkside",405028.77,6,67504.795,"6","2021","Sunset/Parkside"
"998","6 2021 West of Twin Peaks",112103.2,3,37367.7333333333,"6","2021","West of Twin Peaks"
"999","6 2022 Bayview Hunters Point",20000,1,20000,"6","2022","Bayview Hunters Point"
"1000","6 2022 Castro/Upper Market",365408,3,121802.666666667,"6","2022","Castro/Upper Market"
"1001","6 2022 Excelsior",95000,1,95000,"6","2022","Excelsior"
"1002","6 2022 Glen Park",105000,2,52500,"6","2022","Glen Park"
"1003","6 2022 Haight Ashbury",40000,1,40000,"6","2022","Haight Ashbury"
"1004","6 2022 Inner Richmond",343905.48,5,68781.096,"6","2022","Inner Richmond"
"1005","6 2022 Inner Sunset",26421.72,1,26421.72,"6","2022","Inner Sunset"
"1006","6 2022 Marina",35000,1,35000,"6","2022","Marina"
"1007","6 2022 Mission",108000,3,36000,"6","2022","Mission"
"1008","6 2022 Nob Hill",55000,1,55000,"6","2022","Nob Hill"
"1009","6 2022 Noe Valley",50000,1,50000,"6","2022","Noe Valley"
"1010","6 2022 Oceanview/Merced/Ingleside",46550,1,46550,"6","2022","Oceanview/Merced/Ingleside"
"1011","6 2022 Portola",19200,1,19200,"6","2022","Portola"
"1012","6 2022 Potrero Hill",62821.5,1,62821.5,"6","2022","Potrero Hill"
"1013","6 2022 Russian Hill",152500,3,50833.3333333333,"6","2022","Russian Hill"
"1014","6 2022 Sunset/Parkside",274800,5,54960,"6","2022","Sunset/Parkside"
"1015","6 2022 Western Addition",40000,1,40000,"6","2022","Western Addition"
"1016","7 2015 Bayview Hunters Point",2300,1,2300,"7","2015","Bayview Hunters Point"
"1017","7 2015 Bernal Heights",55358,2,27679,"7","2015","Bernal Heights"
"1018","7 2015 Castro/Upper Market",45000,2,22500,"7","2015","Castro/Upper Market"
"1019","7 2015 Chinatown",2000,1,2000,"7","2015","Chinatown"
"1020","7 2015 Glen Park",108601.79,2,54300.895,"7","2015","Glen Park"
"1021","7 2015 Haight Ashbury",106700,3,35566.6666666667,"7","2015","Haight Ashbury"
"1022","7 2015 Hayes Valley",5500,1,5500,"7","2015","Hayes Valley"
"1023","7 2015 Inner Richmond",70000,1,70000,"7","2015","Inner Richmond"
"1024","7 2015 Inner Sunset",11500,1,11500,"7","2015","Inner Sunset"
"1025","7 2015 Mission",535329,3,178443,"7","2015","Mission"
"1026","7 2015 Nob Hill",57500,3,19166.6666666667,"7","2015","Nob Hill"
"1027","7 2015 Noe Valley",3500,1,3500,"7","2015","Noe Valley"
"1028","7 2015 North Beach",20000,1,20000,"7","2015","North Beach"
"1029","7 2015 Outer Richmond",30000,1,30000,"7","2015","Outer Richmond"
"1030","7 2015 Presidio Heights",25874,1,25874,"7","2015","Presidio Heights"
"1031","7 2015 Seacliff",53000,1,53000,"7","2015","Seacliff"
"1032","7 2015 West of Twin Peaks",9000,1,9000,"7","2015","West of Twin Peaks"
"1033","7 2016 Bernal Heights",28000,2,14000,"7","2016","Bernal Heights"
"1034","7 2016 Castro/Upper Market",50838,1,50838,"7","2016","Castro/Upper Market"
"1035","7 2016 Hayes Valley",15000,1,15000,"7","2016","Hayes Valley"
"1036","7 2016 Inner Richmond",150000,1,150000,"7","2016","Inner Richmond"
"1037","7 2016 Lone Mountain/USF",196080,3,65360,"7","2016","Lone Mountain/USF"
"1038","7 2016 Mission",131780,2,65890,"7","2016","Mission"
"1039","7 2016 Noe Valley",21000,2,10500,"7","2016","Noe Valley"
"1040","7 2016 North Beach",98400,3,32800,"7","2016","North Beach"
"1041","7 2016 Outer Richmond",15000,1,15000,"7","2016","Outer Richmond"
"1042","7 2016 Pacific Heights",103000,2,51500,"7","2016","Pacific Heights"
"1043","7 2016 Presidio Heights",20700,1,20700,"7","2016","Presidio Heights"
"1044","7 2016 Russian Hill",144500,4,36125,"7","2016","Russian Hill"
"1045","7 2016 South of Market",145000,4,36250,"7","2016","South of Market"
"1046","7 2016 Sunset/Parkside",34000,1,34000,"7","2016","Sunset/Parkside"
"1047","7 2016 Western Addition",99750,3,33250,"7","2016","Western Addition"
"1048","7 2017 Bernal Heights",NA,3,NA,"7","2017","Bernal Heights"
"1049","7 2017 Castro/Upper Market",70055,2,35027.5,"7","2017","Castro/Upper Market"
"1050","7 2017 Excelsior",86600,2,43300,"7","2017","Excelsior"
