Case Number,Pre Buyout Disclosure Declaration Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Address,ZIP Code,Supervisor District,Analysis Neighborhood,point,geocoding_confidence,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary,Invest In Neighborhoods (IIN) Areas,Civic Center Harm Reduction Project Boundary,Neighborhoods
B170077,01/17/2017,,,,,,352 San carlos Street,94110,9,Mission,POINT (-122.41980824347591 37.75774597036546),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B172449,09/21/2017,,,,,,138 Harold Avenue,94112,11,Oceanview/Merced/Ingleside,POINT (-122.45307517119087 37.72089262288351),100,64,10,1,24,24,8,6,9,"28,861",2,,,,64
B211337,09/14/2021,,,,,,2446 46th Avenue,94116,4,Sunset/Parkside,POINT (-122.5045379405669 37.74089344796446),100,39,10,7,35,35,8,3,1,"29,491",1,,,,39
B150820,04/13/2015,,,,,,660 De Haro Street,94107,10,Potrero Hill,POINT (-122.40129727555772 37.761530419234475),100,54,2,9,26,29,3,8,10,"28,856",1,,,,54
B220778,05/06/2022,,,,,,3070 Jackson Street,94115,2,Pacific Heights,POINT (-122.44561923581884 37.79109663285787),100,102,8,6,30,27,6,1,13,"29,490",1,,,,102
B200720,06/12/2020,,,,,,1528 Baker Street,94115,2,Pacific Heights,POINT (-122.44322345689382 37.785140281217394),100,103,8,6,30,27,6,1,15,"29,490",1,,,,103
B182257,07/20/2018,04/01/2019,"18,000.00",,,2,324 Connecticut Street,94107,10,Potrero Hill,POINT (-122.39750756098782 37.762165028491516),100,54,2,9,26,29,3,8,10,"28,856",1,,,,54
B183398,12/18/2018,,,,,,4124 Judah Street,94122,4,Sunset/Parkside,POINT (-122.50626335420107 37.76044219917712),100,39,10,7,35,35,8,3,1,56,1,,,,39
B220757,04/29/2022,05/13/2022,"40,000.00",,,2,1559 Mckinnon Avenue,94124,10,Bayview Hunters Point,POINT (-122.38848545011518 37.73540803724868),100,86,2,9,1,1,3,8,10,58,2,,,,86
B163729,12/05/2016,,,,,,400 Monterey Boulevard,94127,7,West of Twin Peaks,POINT (-122.44442894742451 37.731636488171056),100,95,9,8,41,40,7,4,9,59,1,,,,95
B151600,07/02/2015,,,,,,2044 Kirkham Street,94122,4,Sunset/Parkside,POINT (-122.48272867897543 37.75960594715444),100,39,10,7,35,35,8,3,1,56,1,,,,39
B152067,08/04/2015,,,,,,524 Ashbury Street,94117,5,Haight Ashbury,POINT (-122.4470467995783 37.77067148753684),100,25,7,11,3,9,5,11,15,"29,492",1,,,,25
B172076,08/14/2017,,,,,,215 06th Avenue,94118,1,Inner Richmond,POINT (-122.46458033889263 37.78452750419049),100,5,8,4,11,11,6,2,11,54,1,,,,5
B152764,10/07/2015,,,,,,1570 Washington Street,94109,3,Russian Hill,POINT (-122.41908039537881 37.79356683374874),100,16,6,3,32,32,1,10,5,"28,858",1,,,,16
B152758,10/06/2015,,,,,,1705 07th Avenue,94122,7,Inner Sunset,POINT (-122.46368637726934 37.75650458876657),100,44,7,8,14,12,5,4,1,56,1,,,,44
B170553,03/06/2017,,,,,,10 leona Terrace,94115,2,Presidio Heights,POINT (-122.44470944622982 37.78314785874015),100,103,8,6,31,31,6,1,15,"29,490",1,,,,103
B210307,03/03/2021,05/24/2021,"112,000.00",,,4,906 Lake Street,94118,1,Inner Richmond,POINT (-122.46915468012268 37.78650750958165),100,4,8,6,11,11,6,1,11,54,1,,,,4
B201440,10/08/2020,,,,,,948 Jackson Street,94133,3,Chinatown,POINT (-122.41063490427895 37.79555765431822),100,16,6,3,6,4,1,10,3,308,2,,,,16
B180574,02/21/2018,04/24/2018,"22,500.00",,true,2,1459 41st Avenue,94122,4,Sunset/Parkside,POINT (-122.50053799846911 37.75957610752432),100,39,10,7,35,35,8,3,1,56,1,,,,39
B210694,05/17/2021,02/10/2022,"90,000.00",,,1,932 Page Street,94117,5,Haight Ashbury,POINT (-122.43616667573674 37.772374629800886),100,26,4,11,3,9,5,11,15,"29,492",1,,,,26
B192453,09/24/2019,,,,,,288 27th Street,94131,8,Noe Valley,POINT (-122.42666148812648 37.74694784890811),100,84,9,5,22,22,7,5,2,63,1,,,,84
B162049,06/13/2016,07/20/2017,"17,750.00",,true,2,126 Baker Street,94117,5,Haight Ashbury,POINT (-122.44058437964051 37.77207782070065),100,112,7,11,3,9,5,11,15,"29,492",1,,,,112
B150996,04/23/2015,07/06/2015,"50,400.00",,,1,542 Clayton Street,94117,5,Haight Ashbury,POINT (-122.4486638940714 37.77032753913965),100,25,7,11,3,9,5,11,15,"29,492",1,,,,25
B200705,06/05/2020,,,,,,7 Walter Street,94114,8,Castro/Upper Market,POINT (-122.43242593303944 37.76907242503915),100,28,7,5,5,3,5,5,15,"28,862",1,,,,28
B171840,07/13/2017,,,,,,1305 Lombard Street,94109,3,Russian Hill,POINT (-122.4230798535646 37.80151426770964),100,107,4,6,32,32,9,1,13,"28,858",1,,,,107
B181328,04/30/2018,02/26/2019,"53,000.00",,,2,30 Romain Street,94114,8,Twin Peaks,POINT (-122.43893245230271 37.75603207355782),100,115,3,5,38,38,4,5,2,"28,862",1,,,,115
B211808,12/03/2021,,,,,,627 San Bruno Avenue,94107,10,Potrero Hill,POINT (-122.40516252661148 37.761684438393544),100,54,2,9,26,29,3,8,10,"28,856",1,,,,54
B170737,03/22/2017,,,,,,855 Alabama Street,94110,9,Mission,POINT (-122.41147433124843 37.758219080523695),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B181766,06/08/2018,,,,,,1269 Dolores Street,94110,8,Mission,POINT (-122.4247885082323 37.74912833927859),100,52,3,5,20,19,4,5,2,"28,859",1,,,,52
B190777,04/08/2019,07/01/2019,"1,394.86",,,1,855 Pine Street,94108,3,Nob Hill,POINT (-122.40987999823645 37.79095392363092),100,16,6,3,21,21,1,10,5,"28,857",1,,,,16
B153501,12/29/2015,03/09/2016,"5,600.00",,,1,3768 Fillmore Street,94123,2,Marina,POINT (-122.43724843013464 37.805914374232074),100,17,4,6,13,17,9,1,13,57,1,,,,17
B201862,03/04/2020,02/25/2022,"70,700.00",,,2,1461 Page Street,94117,5,Haight Ashbury,POINT (-122.44485910061472 37.771207213720636),100,25,7,11,3,9,5,11,15,"29,492",1,,,,25
B151378,06/03/2015,08/31/2015,"70,000.00",,true,2,2267 15th Street,94114,8,Castro/Upper Market,POINT (-122.43471956871541 37.76575165062042),100,28,7,5,5,3,5,5,15,"28,862",1,,,,28
B211121,08/04/2021,,,,,,653 Kansas Street,94107,10,Potrero Hill,POINT (-122.40320747980647 37.76150493065385),100,54,2,9,26,29,3,8,10,"28,856",1,,,,54
B181768,06/08/2018,,,,,,1269 Dolores Street,94110,8,Mission,POINT (-122.4247885082323 37.74912833927859),100,52,3,5,20,19,4,5,2,"28,859",1,,,,52
B192962,10/29/2019,,,,,,226 Richland Avenue,94110,9,Bernal Heights,POINT (-122.42232125749359 37.73586318449401),100,61,9,2,2,2,7,7,2,"28,859",1,,,,61
B152464,09/04/2015,,,,,,437 Vermont Street,94107,10,Potrero Hill,POINT (-122.40442790313935 37.7641763725224),100,54,1,9,26,29,3,8,8,"28,856",1,,,,54
B200949,06/22/2020,,,,,,479 Andover Street,94110,9,Bernal Heights,POINT (-122.41656721751083 37.737526021590334),100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B182512,08/21/2018,,,,,,3534 Pierce Street,94123,2,Marina,POINT (-122.44001617951776 37.80319019493413),100,17,4,6,13,17,9,1,13,57,1,,,,17
B161086,03/15/2016,12/06/2016,"142,517.00",,,6,276 Day Street,94131,8,Noe Valley,POINT (-122.42826259313178 37.742829805959936),100,84,9,5,22,22,7,5,2,63,1,,,,84
B170131,01/18/2017,,,,,,442 04th Avenue,94118,1,Inner Richmond,POINT (-122.46205890625538 37.78027991605308),100,5,8,4,11,11,6,2,11,54,1,,,,5
B153128,11/12/2015,01/05/2016,"20,000.00",,,2,381 Harkness Avenue,94134,10,Visitacion Valley,POINT (-122.4044502077416 37.71776470740715),100,75,9,9,40,39,7,8,10,309,2,,,,75
B210969,07/19/2021,,,,,,1411 Golden Gate Avenue,94115,5,Western Addition,POINT (-122.4338608320963 37.7793000699845),100,97,4,11,39,41,5,11,15,"29,490",2,,,,97
B192180,08/28/2019,,,,,,4634 25th Street,94114,8,Noe Valley,POINT (-122.44088370995374 37.74930613226557),100,51,3,5,22,22,4,5,2,"28,862",1,,,,51
B161520,04/28/2016,,,,,,26 Day Street,94110,8,Noe Valley,POINT (-122.42343170079019 37.7431225422164),100,84,9,5,22,22,7,5,2,"28,859",1,,,,84
B170821,03/27/2017,06/05/2017,"40,000.00",,,2,26 Hill Street,94110,9,Mission,POINT (-122.42165685963401 37.75609759118714),100,52,3,5,20,19,4,5,2,"28,859",1,,,,52
B210416,03/24/2021,08/10/2021,"55,000.00",,,1,2484 Great Highway,94116,4,Sunset/Parkside,POINT (-122.50670343640864 37.7401525858186),100,39,10,7,35,35,8,3,1,"29,491",1,,,,39
B151975,07/28/2015,,,,,,1569 Grove Street,94117,5,Lone Mountain/USF,POINT (-122.44240612860615 37.775343335355664),100,24,7,11,18,16,5,11,15,"29,492",1,,,,24
B211488,10/12/2021,02/25/2022,"46,550.00",,,2,1479 32nd Avenue,94122,4,Sunset/Parkside,POINT (-122.49087151367632 37.75965574107945),100,39,10,7,35,35,8,3,1,56,1,,,,39
B192469,09/30/2019,,,,,,2387 25th Avenue,94116,4,Sunset/Parkside,POINT (-122.48218934558209 37.74306727427778),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
B181420,05/04/2018,,,,,,166 28th Street,94131,8,Noe Valley,POINT (-122.42605325229367 37.74537756634639),100,84,9,5,22,22,7,5,2,63,1,,,,84
B201097,07/23/2020,09/23/2020,"45,000.00",,true,1,1203 23rd Avenue,94122,4,Sunset/Parkside,POINT (-122.48157948393752 37.765138229574035),100,39,10,7,35,35,8,3,1,56,1,,,,39
B181226,04/18/2018,,,,,,17 Alpine Terrace,94117,8,Haight Ashbury,POINT (-122.43772932500049 37.76997221163691),100,112,7,5,3,9,5,5,15,"29,492",1,,,,112
B192834,,10/22/2019,"49,555.66",,true,1,3036 Fulton Street,94118,1,Inner Richmond,POINT (-122.46418785361475 37.7736021980512),100,5,8,4,11,11,6,2,11,54,1,,,,5
B221872,09/16/2022,,,,,,337 10th Avenue,94118,1,Inner Richmond,POINT (-122.4686983106659 37.782021861359055),100,5,8,4,11,11,6,2,11,54,1,,,,5
B190027,01/07/2019,,,,,,301 Crescent Avenue,94110,9,Bernal Heights,POINT (-122.4184894204328 37.73500287311279),100,61,9,2,2,2,7,7,2,"28,859",1,,,,61
B182302,07/25/2018,,,,,,242 Broad Street,94112,11,Oceanview/Merced/Ingleside,POINT (-122.46057321468965 37.71319455042413),100,81,10,1,24,24,8,6,9,"28,861",2,,,,81
B181746,06/05/2018,08/02/2018,"15,261.92",,,2,206 03rd Avenue,94118,1,Inner Richmond,POINT (-122.46130226996367 37.78476989059134),100,5,8,4,11,11,6,2,11,54,1,,,,5
B220154,01/27/2022,03/18/2022,"50,000.00",,,1,567 Haight Street,94117,5,Hayes Valley,POINT (-122.43151973199859 37.77194936366502),100,26,4,11,9,10,9,11,15,"29,492",1,,,,26
B153001,10/30/2015,04/20/2016,"86,940.00",,,1,22 Museum Way,94114,8,Castro/Upper Market,POINT (-122.44100499596705 37.76506341418048),100,113,7,5,5,3,5,5,15,"28,862",1,,,,113
B151329,05/28/2015,,,,,,1244 19th Street,94107,10,Potrero Hill,POINT (-122.39493397216184 37.761421762100255),100,54,2,9,26,29,3,8,10,"28,856",1,,,,54
B161874,06/02/2016,08/30/2016,"38,000.00",,,1,1642 Palou Avenue,94124,10,Bayview Hunters Point,POINT (-122.39174939558069 37.73448725642318),100,87,2,9,1,1,3,8,10,58,2,,,,87
B193280,12/12/2019,02/18/2020,,true,,1,521 Noe Street,94114,8,Castro/Upper Market,POINT (-122.43273992588527 37.760691273591185),100,52,3,5,5,3,4,5,2,"28,862",1,,,,52
B211094,07/27/2021,,,,,,751 38th Avenue,94121,1,Outer Richmond,POINT (-122.49836358945986 37.774719444059265),100,8,8,4,29,26,6,2,11,55,1,,,,8
B221949,10/12/2022,,,,,,679 Andover Street,94110,9,Bernal Heights,POINT (-122.41677932742758 37.735154291903235),100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B172725,10/27/2017,,,,,,1223 44th Avenue,94122,4,Sunset/Parkside,POINT (-122.50406279197436 37.763792679583155),100,39,10,7,35,35,8,3,1,56,1,,,,39
B220541,03/18/2022,05/16/2022,"15,000.00",,,2,2655 Bush Street,94115,2,Pacific Heights,POINT (-122.4409751047548 37.7860425684999),100,103,8,6,30,27,6,1,13,"29,490",1,,,,103
B151137,05/08/2015,,,,,,3586 18th Street,94110,9,Mission,POINT (-122.42349698833002 37.76161701444233),100,37,3,5,20,19,4,5,8,"28,859",1,,,,37
B200177,01/22/2020,,,,,,812 Filbert Street,94133,3,Russian Hill,POINT (-122.41296408885816 37.800960710818664),100,107,6,3,32,32,1,10,3,308,1,,,,107
B170349,02/17/2017,,,,,,3245 STeiner Street,94123,2,Marina,POINT (-122.4376827553333 37.79934389465088),100,14,4,6,13,17,9,1,13,57,1,,,,14
B182441,,08/17/2018,"13,000.00",,,1,2269 Sacramento Street,94115,2,Pacific Heights,POINT (-122.4301977817933 37.790299299384195),100,102,4,6,30,27,9,1,13,"29,490",1,,,,102
B182174,07/19/2018,,,,,,1985 Fulton Street,94117,5,Lone Mountain/USF,POINT (-122.44941872685804 37.77540595689377),100,24,7,11,18,16,5,11,15,"29,492",1,,,,24
B181605,05/14/2018,,,,,,2730 23rd Street,94110,9,Potrero Hill,POINT (-122.40707299991891 37.75456163162008),100,53,3,2,20,19,4,7,10,"28,859",2,,,,53
B190373,02/14/2019,08/05/2019,"48,000.00",,,2,3084 Market Street,94114,8,Castro/Upper Market,POINT (-122.44315769497423 37.76084611944545),100,115,7,5,5,3,5,5,15,"28,862",1,,,,115
B150683,03/30/2015,,,,,,1049 Market Street,94103,6,South of Market,POINT (-122.41133479730053 37.78132916046372),100,32,5,10,34,34,2,9,14,"28,853",2,1,,1,32
B221963,10/24/2022,,,,,,20 Stanley Street,94132,11,Oceanview/Merced/Ingleside,POINT (-122.4628335267408 37.71255307427406),100,65,10,1,24,24,8,6,9,64,2,,,,65
B183216,11/19/2018,02/07/2019,"60,000.00",,,2,1264 Page Street,94117,5,Haight Ashbury,POINT (-122.441602594816 37.771679207828036),100,112,7,11,3,9,5,11,15,"29,492",1,,,,112
B221184,06/06/2022,,,,,,443 39th Avenue,94121,1,Outer Richmond,POINT (-122.49985681878015 37.78049325061155),100,8,8,4,29,26,6,2,11,55,1,,,,8
B201314,09/25/2020,01/21/2021,"48,590.00",,true,2,1200 Sacramento Street,94108,3,Nob Hill,POINT (-122.4127803845807 37.792569666131605),100,16,6,3,21,21,1,10,5,"28,857",1,,,,16
B163860,12/19/2016,01/19/2022,"23,944.21",,true,1,530 scott Street,94117,5,Hayes Valley,POINT (-122.43598467094134 37.77460487912086),100,23,4,11,9,10,5,11,15,"29,492",1,,,,23
B152904,10/22/2015,10/22/2015,"45,000.00",,true,3,2287 43rd Avenue,94116,4,Sunset/Parkside,POINT (-122.50160417996975 37.7440839882025),100,39,10,7,35,35,8,3,1,"29,491",1,,,,39
B211894,12/08/2021,,,,,,1208 Bowdoin Street,94134,9,Portola,POINT (-122.40849457235026 37.72084624218405),100,91,2,2,25,28,3,7,9,309,1,,,,91
B181496,05/08/2018,07/10/2018,"193,750.00",,,2,56 Mason Street,94102,3,Tenderloin,POINT (-122.40918921274312 37.78386498910406),100,19,5,10,36,36,10,9,14,"28,852",2,1,,1,19
B162973,09/21/2016,,,,,,72 Iris Avenue,94118,2,Presidio Heights,POINT (-122.45193779544694 37.78464703127013),100,11,8,6,31,31,6,1,15,54,1,,,,11
B200580,03/18/2020,10/13/2020,"25,000.00",,true,3,1741 Greenwich Street,94123,2,Marina,POINT (-122.42834512141023 37.79988754086098),100,15,4,6,13,17,9,1,13,57,1,,,,15
B163294,10/13/2016,,,,,,308 Duncan Street,94131,8,Noe Valley,POINT (-122.4271833589757 37.7461134339064),100,84,9,5,22,22,7,5,2,63,1,,,,84
B172082,08/14/2017,,,,,,427 Frederick Street,94117,8,Haight Ashbury,POINT (-122.45083890067255 37.766625322693365),100,29,7,11,3,9,5,11,15,"29,492",1,,,,29
B200544,02/28/2020,05/27/2020,"100,000.00",,,1,827 Corbett Avenue,94131,8,Twin Peaks,POINT (-122.44322500026668 37.753546976764554),100,51,7,5,38,38,5,5,2,63,1,,,,51
B192351,09/13/2019,12/16/2019,"12,000.00",,,1,2334 Funston Avenue,94116,7,West of Twin Peaks,POINT (-122.46922030020389 37.74446113221516),100,44,10,8,41,40,8,4,1,"29,491",1,,,,44
B171240,05/10/2017,,,,,,2199 California Street,94115,5,Pacific Heights,POINT (-122.43044672293173 37.789317006220244),100,102,4,11,30,27,9,11,13,"29,490",1,,,,102
B210797,06/03/2021,06/04/2021,"25,000.00",,true,1,505 26th Avenue,94121,1,Outer Richmond,POINT (-122.48584304951382 37.779880324139874),100,8,8,4,29,26,6,2,11,55,1,,,,8
B182386,08/03/2018,08/03/2018,"18,000.00",,,2,3661 19th Street,94110,8,Mission,POINT (-122.42498699131392 37.75986466925699),100,37,3,5,20,19,4,5,2,"28,859",1,,,,37
B162657,08/15/2016,10/14/2016,"25,937.50",,,1,385 Leland Avenue,94134,10,Visitacion Valley,POINT (-122.41136857373067 37.71360612600781),100,75,9,9,40,39,7,8,9,309,2,,,,75
B160895,03/08/2016,03/20/2020,"20,000.00",,,2,3475 26th Street,94110,9,Mission,POINT (-122.41990436141798 37.748912464470926),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B171681,06/22/2017,,,,,,720 Moraga Street,94122,7,Inner Sunset,POINT (-122.47034495841542 37.756410904679754),100,44,10,8,14,12,8,4,1,56,1,,,,44
B200216,01/29/2020,03/21/2022,"60,000.00",,,1,1336 South Van Ness Avenue,94110,9,Mission,POINT (-122.41625231328446 37.7517634107228),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B162183,06/22/2016,09/13/2016,"36,530.24",,,3,2414 47th Avenue,94116,4,Sunset/Parkside,POINT (-122.50564693740368 37.74139311739343),100,39,10,7,35,35,8,3,1,"29,491",1,,,,39
B161096,03/17/2016,,,,,,1773 Green Street,94123,2,Marina,POINT (-122.42824413652716 37.797031948422834),100,102,4,6,13,17,9,1,13,57,1,,,,102
B183386,12/14/2018,01/30/2019,"45,000.00",,true,2,2201 California Street,94115,2,Pacific Heights,POINT (-122.43067093732046 37.78928849653805),100,102,4,6,30,27,9,1,13,"29,490",1,,,,102
B170256,02/09/2017,09/25/2017,"10,476.70",,true,1,435 Laidley Street,94131,8,Glen Park,POINT (-122.42998241178852 37.73659740629766),100,59,9,5,10,7,7,5,2,63,1,,,,59
B172063,08/09/2017,,,,,,3439 Mission Street,94110,9,Bernal Heights,POINT (-122.42241318116591 37.74165445419821),100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B182593,,09/05/2018,"27,000.00",,,1,73 Alpha Street,94134,10,Visitacion Valley,POINT (-122.40328755751955 37.714863532639995),100,75,9,9,40,39,7,8,10,309,2,,,,75
B211629,11/02/2021,03/14/2022,"22,500.00",,,1,2056 VAllejo Street,94123,2,Marina,POINT (-122.43112543318901 37.795767537337994),100,102,4,6,13,17,9,1,13,57,1,,,,102
B211642,11/09/2021,12/07/2021,"40,000.00",,true,2,100 San Marcos Avenue,94116,7,West of Twin Peaks,POINT (-122.46373509723757 37.74668506125253),100,45,10,8,41,40,8,4,1,"29,491",1,,,,45
B152263,08/17/2015,,,,,,220 16th Avenue,94118,1,Outer Richmond,POINT (-122.47531851818572 37.783892674674526),100,5,8,4,29,26,6,2,11,54,1,,,,5
B181302,04/25/2018,,,,,,30 Santa Marina Street,94110,9,Bernal Heights,POINT (-122.42252582686942 37.7403809497565),100,61,9,2,2,2,7,7,2,"28,859",1,,,,61
B201132,08/06/2020,10/05/2020,"7,500.00",,true,1,1010 Hyde Street,94109,3,Nob Hill,POINT (-122.41721764941106 37.790219861725205),100,16,6,3,21,21,1,10,13,"28,858",1,,,,16
B192952,10/25/2019,,,,,,3188 16th Street,94103,9,Mission,POINT (-122.42380428156147 37.76483433836085),100,37,3,5,20,19,4,5,8,"28,853",2,,,,37
B200969,07/06/2020,,,,,,141 Marview Way,94131,7,Twin Peaks,POINT (-122.44863453268854 37.75465221047676),100,47,7,8,38,38,5,4,1,63,1,,,,47
B210467,04/07/2021,10/06/2021,"30,200.00",,,2,743 47th Avenue,94121,1,Outer Richmond,POINT (-122.50801230648062 37.7744157999631),100,8,8,4,29,26,6,2,11,55,1,,,,8
B160556,02/09/2016,,,,,,333 Haight Street,94102,5,Hayes Valley,POINT (-122.42774186550291 37.772429957861576),100,27,4,11,9,10,9,11,7,"28,852",1,,,,27
B172065,08/09/2017,,,,,,3439 Mission Street,94110,9,Bernal Heights,POINT (-122.42241318116591 37.74165445419821),100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B151760,,07/13/2015,"36,205.00",,,4,227 Winfield Street,94110,9,Bernal Heights,POINT (-122.41906811954297 37.74181357285637),100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B211042,07/26/2021,05/19/2022,"41,021.84",,,2,3220 23rd Street,94110,9,Mission,POINT (-122.4169033057382 37.75397115127049),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B211357,09/29/2021,,,,,,1801 38th Avenue,94122,4,Sunset/Parkside,POINT (-122.49687575864796 37.75325627382394),100,39,10,7,35,35,8,3,1,56,1,,,,39
B221440,06/21/2022,,,,,,1333 Jones Street,94109,3,Nob Hill,POINT (-122.4145810934665 37.793544243608366),100,16,6,3,21,21,1,10,5,"28,858",1,,,,16
B221693,08/08/2022,,,,,,99 Lupine Avenue,94118,2,Presidio Heights,POINT (-122.44792502770422 37.78385041019356),100,11,8,6,31,31,6,1,15,54,1,,,,11
B200229,02/04/2020,04/27/2020,"20,155.00",,,1,1185 South Van Ness Avenue,94110,9,Mission,POINT (-122.4164207742165 37.754267579016336),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B220629,03/31/2022,,,,,,2057 15th Street,94114,8,Castro/Upper Market,POINT (-122.43013419587409 37.766030208635364),100,37,3,5,5,3,4,5,8,"28,862",1,,,,37
B200330,02/14/2020,02/14/2020,"47,000.00",,,1,3270 21st Street,94110,9,Mission,POINT (-122.42056485789782 37.75696812133995),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B211781,11/22/2021,,,,,,3035 Baker Street,94123,2,Marina,POINT (-122.4460911764152 37.7989766172518),100,14,4,6,13,17,9,1,13,57,1,,,,14
B221883,09/27/2022,,,,,,441 Dellbrook Avenue,94131,7,Twin Peaks,POINT (-122.45375316690559 37.75389254488417),100,47,7,8,38,38,5,4,1,63,1,,,,47
B210209,02/19/2021,07/14/2021,"78,452.96",,,1,198 Downey Street,94117,8,Haight Ashbury,POINT (-122.44683486880751 37.765435021285825),100,114,7,11,3,9,5,11,15,"29,492",1,,,,114
B171015,04/17/2017,,,,,,420 Noe Street,94114,8,Castro/Upper Market,POINT (-122.43296244915206 37.76227371729982),100,38,3,5,5,3,4,5,15,"28,862",1,,,,38
B163454,10/28/2016,10/28/2016,"45,000.00",,true,2,1141 Church Street,94114,8,Noe Valley,POINT (-122.42750368691652 37.75267910035687),100,52,3,5,22,22,4,5,2,"28,862",1,,,,52
B210674,05/03/2021,,,,,,3653 16th Street,94114,8,Castro/Upper Market,POINT (-122.43426683172967 37.76414449052531),100,28,7,5,5,3,5,5,15,"28,862",1,,,,28
B190890,04/23/2019,08/08/2019,"12,000.00",,,1,4740 Balboa Street,94121,1,Outer Richmond,POINT (-122.50956749022147 37.77518767170814),100,6,8,4,29,26,6,2,11,55,1,,,,6
B152280,08/27/2015,02/09/2016,"8,950.00",,,1,12 College Terrace,94112,8,Bernal Heights,POINT (-122.42594009310345 37.73440716655476),100,93,9,5,2,2,7,5,2,"28,861",1,,7,,93
B171373,05/25/2017,,,,,,35 Santa Cruz Avenue,94112,11,Outer Mission,POINT (-122.465706378049 37.70865488100435),100,66,10,1,28,25,8,6,9,"28,861",2,,,,66
B181289,,04/20/2018,"17,857.50",,,2,1819 Golden Gate Avenue,94115,5,Western Addition,POINT (-122.44059550502128 37.77844170847035),100,97,7,11,39,41,5,11,15,"29,490",1,,,,97
B161670,05/13/2016,06/29/2016,"25,000.00",,true,1,1831 Union Street,94123,2,Marina,POINT (-122.42946884821647 37.79783409746437),100,15,4,6,13,17,9,1,13,57,1,,,,15
B220006,01/04/2022,03/11/2022,"65,000.00",,,7,725 Treat Avenue,94110,9,Mission,POINT (-122.41353718344216 37.758531521096124),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B180348,02/01/2018,,,,,,3358 washington Street,94118,2,Presidio Heights,POINT (-122.44832337335816 37.789848407777264),100,10,8,6,31,31,6,1,13,54,1,,,,10
B200625,04/13/2020,,,,,,935 Alabama Street,94110,9,Mission,POINT (-122.41134837184005 37.756910197678586),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B153062,11/03/2015,11/08/2016,"50,000.00",,,6,1440 15th Avenue,94122,7,Inner Sunset,POINT (-122.47258380229482 37.7611118469912),100,109,10,8,14,12,8,4,1,56,1,,,,109
B181013,03/28/2018,,,,,,2 colby Street,94134,9,Portola,POINT (-122.41505233562347 37.7308314309813),100,91,2,2,25,28,3,7,9,309,2,,,,91
B220965,,05/05/2022,"35,000.00",,,1,2327 Taraval Street,94116,4,Sunset/Parkside,POINT (-122.4910419865107 37.74235328843901),100,40,10,7,35,35,8,3,1,"29,491",1,,,,40
B160096,01/14/2016,,,,,,1667 Oak Street,94117,5,Haight Ashbury,POINT (-122.44676031085918 37.771927104964185),100,25,7,11,3,9,5,11,15,"29,492",1,,,,25
B162787,08/23/2016,,,,,,542 vallejo Street,94133,3,North Beach,POINT (-122.4063090754321 37.79892118287256),100,106,6,3,23,23,1,10,3,308,2,,,,106
B200319,02/11/2020,,,,,,4525 Cabrillo Street,94121,1,Outer Richmond,POINT (-122.50715162876598 37.77337032478609),100,8,8,4,29,26,6,2,11,55,1,,,,8
B200426,02/18/2020,04/17/2020,"50,000.00",,,1,3061 24th Street,94110,9,Mission,POINT (-122.41320736201023 37.752537281768966),100,53,3,2,20,19,4,7,2,"28,859",2,,,,53
B180321,01/31/2018,,,,,,1555 Chestnut Street,94123,2,Marina,POINT (-122.42892478064753 37.80172745840075),100,17,4,6,13,17,9,1,13,57,1,,,,17
B180326,01/31/2018,,,,,,1290 Grove Street,94117,5,Hayes Valley,POINT (-122.43777819517838 37.77598629937515),100,23,4,11,9,10,5,11,15,"29,492",1,,,,23
B182020,07/11/2018,,,,,,218 Miramar Avenue,94112,11,Oceanview/Merced/Ingleside,POINT (-122.45816414374342 37.72233359211352),100,64,10,8,24,24,8,4,9,"28,861",2,,,,64
B151542,06/22/2015,09/01/2015,"75,000.00",,true,1,1473 Church Street,94131,8,Noe Valley,POINT (-122.42698863298993 37.74732904266374),100,84,9,5,22,22,7,5,2,63,1,,,,84
B201653,11/10/2020,,,,,,356 Naples Street,94112,11,Excelsior,POINT (-122.42955021235696 37.72309499994636),100,90,9,1,7,5,7,6,9,"28,861",2,,,,90
