Case Number,Pre Buyout Disclosure Declaration Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Address,ZIP Code,Supervisor District,Analysis Neighborhood,point,geocoding_confidence,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary,Invest In Neighborhoods (IIN) Areas,Civic Center Harm Reduction Project Boundary,Neighborhoods
B182256,07/20/2018,,,,,,1330 Union Street,94109,3,Russian Hill,POINT (-122.421255421171 37.79893304338543),100,107,4,6,32,32,9,1,13,"28,858",1,,,,107
B183397,12/18/2018,,,,,,4124 Judah Street,94122,4,Sunset/Parkside,POINT (-122.50626335420107 37.76044219917712),100,39,10,7,35,35,8,3,1,56,1,,,,39
B211904,12/13/2021,,,,,,1259 Folsom Street,94103,6,South of Market,POINT (-122.41095296675626 37.77426576673209),100,32,1,10,34,34,2,9,8,"28,853",2,,,1,32
B190752,04/02/2019,,,,,,2210 Turk Boulevard,94118,2,Lone Mountain/USF,POINT (-122.44570309679725 37.7788255111266),100,13,7,6,18,16,5,1,15,54,1,,,,13
B163925,12/19/2016,11/09/2017,"12,500.00",,,2,1923 Oak Street,94117,5,Haight Ashbury,POINT (-122.45103947473491 37.771383583275096),100,,7,11,3,9,5,11,15,"29,492",1,,,,
B160030,01/05/2016,,,,,,2142 45th Avenue,94116,4,Sunset/Parkside,POINT (-122.50386501399663 37.746609539299094),100,39,10,7,35,35,8,3,1,"29,491",1,,,,39
B172450,09/22/2017,,,,,,75 29th Street,94110,9,Bernal Heights,POINT (-122.42225631134107 37.74394299551408),100,83,9,2,2,2,7,7,2,"28,859",1,,,,83
B190983,05/06/2019,,,,,,748 Clipper Street,94114,8,Noe Valley,POINT (-122.44150153158262 37.7486220776005),100,51,3,5,22,22,4,5,2,"28,862",1,,,,51
B152843,,10/13/2015,"31,250.00",,,1,1015 Pierce Street,94115,5,Western Addition,POINT (-122.43532330029355 37.7793256968576),100,97,4,11,39,41,5,11,15,"29,490",2,,,,97
B153322,12/01/2015,02/23/2018,"20,000.00",,,2,1667 Green Street,94123,2,Marina,POINT (-122.42651254470931 37.79725132938176),100,102,4,6,13,17,9,1,13,57,1,,,,102
B161803,05/19/2016,,,,,,93 Delta Street,94134,10,Visitacion Valley,POINT (-122.40692611430005 37.71856606484905),100,75,9,9,40,39,7,8,10,309,2,,,,75
