"","nhood","city","county","price","beds","baths","sqft","room_in_apt","address","lat","lon","d"
"3254","bayview","san francisco","san francisco",2500,3,NA,1500,0,NA,NA,NA,2011-11-14
"3266","bayview","san francisco","san francisco",4179,2,NA,1592,0,NA,NA,NA,2015-05-26
"3268","bayview","san francisco","san francisco",2690,2,NA,1050,0,NA,NA,NA,2012-07-07
"3269","bayview","san francisco","san francisco",1500,3,2,1200,0,NA,NA,NA,2012-01-15
"3271","bayview","san francisco","san francisco",3250,2,NA,970,0,NA,NA,NA,2015-10-29
"3272","bayview","san francisco","san francisco",2695,3,2,1300,0,NA,NA,NA,2015-06-09
"3273","bayview","san francisco","san francisco",2200,2,2,1500,0,NA,37.734704,NA,2013-12-30
"3276","bayview","san francisco","san francisco",2400,1,1,650,0,NA,NA,NA,2016-07-08
"3278","bayview","san francisco","san francisco",4198,2,NA,1495,0,NA,NA,NA,2015-11-06
"3283","bayview","san francisco","san francisco",2000,1,NA,700,0,NA,NA,NA,2016-02-08
"3289","bayview","san francisco","san francisco",2695,3,2,1500,0,NA,NA,NA,2012-01-21
"3294","bayview","san francisco","san francisco",2800,2,NA,970,0,NA,NA,NA,2016-08-27
"3295","bayview","san francisco","san francisco",1850,1,NA,1200,0,NA,NA,NA,2012-03-30
"3299","bayview","san francisco","san francisco",3297,1,NA,1032,0,NA,NA,NA,2016-03-01
"3301","bayview","san francisco","san francisco",2400,2,NA,1063,0,NA,NA,NA,2012-01-23
"3302","bayview","san francisco","san francisco",2650,1,NA,625,0,NA,NA,NA,2015-10-29
"3306","bayview","san francisco","san francisco",2450,3,1.5,1375,0,NA,NA,NA,2011-12-22
"3307","bayview","san francisco","san francisco",2300,2,NA,1650,0,NA,NA,NA,2012-01-05
"3309","bayview","san francisco","san francisco",3090,2,NA,984,0,NA,NA,NA,2016-09-17
"3310","bayview","san francisco","san francisco",1500,4,NA,1500,0,NA,NA,NA,2012-03-04
"3312","bayview","san francisco","san francisco",4098,2,NA,1629,0,NA,NA,NA,2015-04-07
"3314","bayview","san francisco","san francisco",2100,2,1,550,0,NA,NA,NA,2016-01-08
"3316","bayview","san francisco","san francisco",2800,1,NA,1400,0,NA,NA,NA,2014-08-03
"3317","bayview","san francisco","san francisco",2765,1,NA,675,0,NA,NA,NA,2017-09-07
"3325","bayview","san francisco","san francisco",600,1,NA,1100,0,NA,NA,NA,2011-12-30
"3328","bayview","san francisco","san francisco",2910,1,NA,675,0,NA,NA,NA,2018-02-20
"3330","bayview","san francisco","san francisco",4350,3,3,1587,0,NA,37.725476,-122.394243,2017-01-12
"3333","bayview","san francisco","san francisco",2500,2,1,1250,0,"449",37.739533,-122.389031,2014-02-09
"3335","bayview","san francisco","san francisco",4227,2,NA,1495,0,NA,NA,NA,2016-04-14
"3337","bayview","san francisco","san francisco",2995,1,NA,700,0,NA,NA,NA,2016-08-04
"3339","bayview","san francisco","san francisco",2000,3,NA,1200,0,NA,NA,NA,2012-04-20
"3340","bayview","san francisco","san francisco",4200,2,NA,1177,0,NA,NA,NA,2017-08-31
"3343","bayview","san francisco","san francisco",2200,2,NA,1200,0,NA,NA,NA,2014-09-21
"3344","bayview","san francisco","san francisco",3695,4,3,1200,0,NA,NA,NA,2015-06-09
"3345","bayview","san francisco","san francisco",2350,3,1.5,1375,0,NA,NA,NA,2012-01-02
"3347","bayview","san francisco","san francisco",2581,1,NA,572,0,NA,NA,NA,2017-12-21
"3349","bayview","san francisco","san francisco",1850,1,NA,1200,0,NA,NA,NA,2012-03-31
"3353","bayview","san francisco","san francisco",4400,4,NA,1930,0,NA,NA,NA,2016-09-10
"3354","bayview","san francisco","san francisco",4722,2,NA,1667,0,NA,NA,NA,2018-02-20
"3357","bayview","san francisco","san francisco",4500,3,2.5,1300,0,NA,NA,NA,2018-02-22
"3361","bayview","san francisco","san francisco",3000,3,3,1476,0,NA,37.716486,NA,2013-10-03
"3365","bayview","san francisco","san francisco",2195,3,NA,975,0,NA,NA,NA,2011-11-20
"3366","bayview","san francisco","san francisco",2695,4,3,1640,0,NA,NA,NA,2012-03-03
"3367","bayview","san francisco","san francisco",3050,1,NA,700,0,NA,NA,NA,2016-04-13
"3368","bayview","san francisco","san francisco",2400,1,1,650,0,NA,NA,NA,2016-09-03
"3372","bayview","san francisco","san francisco",2450,3,2,1600,0,NA,NA,NA,2012-03-20
"3373","bayview","san francisco","san francisco",3794,2,NA,981,0,NA,NA,NA,2016-10-09
"3375","bayview","san francisco","san francisco",5995,2,1,1800,0,NA,NA,NA,2015-12-22
"3377","bayview","san francisco","san francisco",580,1,NA,600,0,NA,NA,NA,2012-01-24
"3379","bayview","san francisco","san francisco",2100,1,1,650,0,NA,NA,NA,2015-01-13
"3382","bayview","san francisco","san francisco",2500,4,NA,1700,0,NA,NA,NA,2012-04-13
"3383","bayview","san francisco","san francisco",3840,2,NA,1592,0,NA,NA,NA,2015-04-07
"3384","bayview","san francisco","san francisco",2595,4,NA,2000,0,NA,NA,NA,2012-03-29
"3387","bayview","san francisco","san francisco",4995,2,NA,1800,0,NA,NA,NA,2016-05-27
"3390","bayview","san francisco","san francisco",1800,1,NA,640,0,NA,NA,NA,2016-10-17
"3392","bayview","san francisco","san francisco",1500,1,NA,193,0,NA,NA,NA,2016-10-01
"3393","bayview","san francisco","san francisco",3500,7,NA,1600,0,NA,NA,NA,2012-04-27
"3396","bayview","san francisco","san francisco",2795,3,2,1550,0,NA,NA,NA,2012-06-08
"3397","bayview","san francisco","san francisco",2500,4,NA,2481,0,NA,NA,NA,2015-12-22
"3401","bayview","san francisco","san francisco",3700,2,NA,800,0,NA,NA,NA,2015-12-25
"3402","bayview","san francisco","san francisco",3373,1,NA,1259,0,NA,NA,NA,2015-06-16
"3403","bayview","san francisco","san francisco",2900,3,NA,1500,0,NA,NA,NA,2012-03-31
"3405","bayview","san francisco","san francisco",3350,3,NA,1200,0,NA,NA,NA,2015-04-07
"3408","bayview","san francisco","san francisco",2400,1,1,650,0,NA,NA,NA,2016-06-09
"3411","bayview","san francisco","san francisco",3089,1,NA,844,0,NA,NA,NA,2015-06-09
"3412","bayview","san francisco","san francisco",3650,2,NA,1000,0,NA,NA,NA,2015-12-04
"3416","bayview","san francisco","san francisco",3400,2,NA,1073,0,NA,NA,NA,2015-11-05
"3417","bayview","san francisco","san francisco",3800,4,NA,1300,0,NA,NA,NA,2015-06-16
"3420","bayview","san francisco","san francisco",2950,4,NA,1200,0,NA,NA,NA,2014-09-07
"3421","bayview","san francisco","san francisco",3400,3,NA,2000,0,NA,NA,NA,2014-12-22
"3422","bayview","san francisco","san francisco",4019,2,NA,1495,0,NA,NA,NA,2015-06-18
"3425","bayview","san francisco","san francisco",2400,1,NA,650,0,NA,NA,NA,2016-06-09
"3426","bayview","san francisco","san francisco",1099,1,1,400,0,NA,NA,NA,2016-06-09
"3428","bayview","san francisco","san francisco",3223,1,NA,1133,0,NA,NA,NA,2015-03-09
"3429","bayview","san francisco","san francisco",1750,NA,NA,450,0,NA,NA,NA,2015-11-27
"3431","bayview","san francisco","san francisco",4000,4,NA,1050,0,NA,NA,NA,2014-12-22
"3432","bayview","san francisco","san francisco",3373,1,NA,1259,0,NA,NA,NA,2015-06-18
"3433","bayview","san francisco","san francisco",2900,2,2,1021,0,NA,NA,NA,2013-09-12
