"...1","X","buyout_amount","address","nhood","long","lat","month","year","centroid_lat","centroid_long"
2248,5614,45000,"51 Wilmot Street","Pacific Heights",-122.432753776861,37.7875668946145,5,2015,37.792182,-122.432784
2249,5622,20000,"221 Eureka Street","Castro/Upper Market",-122.438055260824,37.7587195456623,9,2015,37.758812,-122.435644
2250,5624,25000,"1714 McKinnon Avenue","Bayview Hunters Point",-122.391415445038,37.73712156692,10,2019,37.730696,-122.388515
2251,5627,15000,"481 17th Avenue","Outer Richmond",-122.476103190534,37.7789671021895,12,2018,37.776683,-122.489908
2252,5629,20000,"910 Steiner Street","Western Addition",-122.433231902425,37.7776655157048,4,2015,37.780587,-122.43451
2253,5630,70000,"268 04th Avenue","Inner Richmond",-122.462302657349,37.7836517319186,7,2015,37.778849,-122.468955
2254,5631,30000,"130 Harold Avenue","Oceanview/Merced/Ingleside",-122.453074413284,37.7207332775491,5,2015,37.718959,-122.462039
2255,5633,20000,"1985 Fulton Street","Lone Mountain/USF",-122.449418726858,37.7754059568938,5,2019,37.777975,-122.452816
2256,5635,30000,"180 09th Avenue","Inner Richmond",-122.46777222636,37.7850745401949,12,2019,37.778849,-122.468955
2257,5636,30000,"1762 20th Avenue","Sunset/Parkside",-122.477577796939,37.754909184984,1,2017,37.749026,-122.493742
2258,5637,50000,"2947 Harrison Street","Mission",-122.411652968711,37.7502854681272,4,2016,37.758338,-122.414678
2259,5638,70000,"561 36th Avenue","Outer Richmond",-122.496484168907,37.7783971621694,3,2020,37.776683,-122.489908
2260,5639,17000,"1762 Jackson Street","Pacific Heights",-122.424078591339,37.7938382084051,2,2021,37.792182,-122.432784
2261,5643,7000,"108 San Jose Avenue","Mission",-122.421577192223,37.7530778468274,9,2021,37.758338,-122.414678
2262,5647,15000,"274 Maynard Street","Excelsior/Outer Mission",-122.424442073556,37.729455402088,6,2021,37.7223,-122.431224
2263,5648,80000,"2957 Cesar Chavez Street","Bernal Heights",-122.408909172762,37.7482754049172,6,2015,37.741391,-122.414033
2264,5649,1e+05,"2856 Greenwich Street","Marina",-122.446572530668,37.7976235686446,3,2020,37.802877,-122.436969
2265,5653,4621.15,"1372 Grove Street","Haight Ashbury/Hayes Valley",-122.439180318795,37.7758081091691,11,2021,37.776425,-122.426235
2266,5654,NA,"1074 ingerson Avenue","Bayview Hunters Point",-122.394340293387,37.719915458268,3,2017,37.730696,-122.388515
2267,5655,14500,"2590 38th Avenue","Sunset/Parkside",-122.495784242793,37.7386596110762,7,2021,37.749026,-122.493742
2268,5657,3915,"249 Nueva Avenue","Bayview Hunters Point",-122.397500295154,37.7107299671948,10,2017,37.730696,-122.388515
2269,5659,45000,"1453 Rhode Island Street","Potrero Hill",-122.401273898717,37.7512949499766,5,2022,37.759056,-122.398618
2270,5662,65000,"217 Vicksburg Street","Glen Park/Noe Valley",-122.428577508288,37.7522070695447,8,2020,37.747095,-122.431421
2271,5663,30000,"4152 26th Street","Glen Park/Noe Valley",-122.432739452907,37.7481912380152,5,2020,37.747095,-122.431421
2272,5672,78500,"11 Mayfair Drive","Presidio Heights",-122.450178018248,37.786089229675,2,2022,37.788849,-122.452228
2273,5674,17450,"1366 Francisco Street","Marina",-122.427652785403,37.8028949417211,8,2015,37.802877,-122.436969
2274,5677,25000,"288 Thrift Street","Oceanview/Merced/Ingleside",-122.462204014529,37.7174573503788,11,2018,37.718959,-122.462039
2275,5678,80000,"1434 Clement Street","Outer Richmond",-122.474550800508,37.7825214346823,4,2020,37.776683,-122.489908
2276,5687,2300,"670 Thornton Avenue","Bayview Hunters Point",-122.40099343126,37.731331561691,7,2015,37.730696,-122.388515
2277,5688,75000,"390 Arguello Boulevard","Presidio Heights",-122.459039236625,37.7840468562222,9,2019,37.788849,-122.452228
2278,5689,28000,"78 Buchanan Street","Haight Ashbury/Hayes Valley",-122.426699978457,37.7703712672521,5,2017,37.776425,-122.426235
2279,5690,40000,"1619 48th Avenue","Sunset/Parkside",-122.507823969986,37.7562031912711,2,2017,37.749026,-122.493742
2280,5699,NA,"1882 33rd Avenue","Sunset/Parkside",-122.491349576719,37.7520824048646,8,2021,37.749026,-122.493742
2281,5700,35000,"70 Liberty Street","Mission",-122.422701999635,37.7576431248467,8,2019,37.758338,-122.414678
2282,5706,40000,"1900 33rd Avenue","Sunset/Parkside",-122.491317657454,37.7516267329701,3,2019,37.749026,-122.493742
2283,5709,19200,"1627 Burrows Street","Portola",-122.419203034622,37.7248640439751,6,2022,37.72647,-122.407642
2284,5712,39255,"2643 Yorba Street","Sunset/Parkside",-122.494935466101,37.7347105592578,8,2016,37.749026,-122.493742
2285,5714,55476.7,"1969 SAn Jose Avenue","Excelsior/Outer Mission",-122.442545762056,37.7255767882589,8,2018,37.709585,-122.455082
2286,5717,40000,"3626 Webster Street","Marina",-122.435207098453,37.8041218237791,10,2021,37.802877,-122.436969
2287,5720,80000,"714 Douglass Street","Glen Park/Noe Valley",-122.438648941468,37.7523606850383,2,2022,37.747095,-122.431421
2288,5723,70500,"3337 22nd Street","Mission",-122.421957176358,37.755217387693,12,2018,37.758338,-122.414678
2289,5724,19250,"2040 Franklin Street","Pacific Heights",-122.42457269543,37.7932279901841,8,2018,37.792182,-122.432784
2290,5726,0,"725 Pine Street","Nob Hill",-122.40775086189,37.7912232538734,1,2018,37.793044,-122.414461
2291,5727,20000,"711 Page Street","Haight Ashbury/Hayes Valley",-122.432544704144,37.7727748304464,2,2022,37.76991,-122.447678
2292,5728,80000,"206 Monterey Boulevard","West of Twin Peaks",-122.439983486571,37.7316588383451,1,2019,37.737955,-122.460363
